ID	NAMES	KEGG	EQUATION	ECs
R06434		R06434	C11927[0] + C00005[0] + C00080[0] <=> C11920[0] + C00006[0]	null
R06435	S-adenosyl-L-methionine:dTDP-4-oxo-2,6-dideoxy-L-mannose 3-C-methyltransferase	R06435	C11927[0] + C00019[0] <=> C11915[0] + C00021[0] + C00080[0]	2.1.1.-
R06436	dTDP-L-mycarose:NADP+ 4-oxidoreductase	R06436	C11915[0] + C00005[0] + C00080[0] <=> C11916[0] + C00006[0]	1.1.1.-
R06437	dTDP-4-dehydro-6-deoxy-alpha-D-glucose 3-epimerase	R06437	C11907[0] <=> C11926[0]	5.1.3.27
R06438	dTDP-6-deoxy-alpha-D-allose:NAD+ oxidoreductase	R06438	C11912[0] + C00003[0] <=> C11926[0] + C00004[0] + C00080[0]	1.1.1.364
R06439	S-adenosyl-L-methionine:dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose 3-N,N-dimethyltransferase	R06439	C11925[0] + (2) C00019[0] <=> C11933[0] + (2) C00021[0] + (2) C00080[0]	2.1.1.235
R06440		R06440	C11930[0] <=> C11931[0]	null
R06441		R06441	C11931[0] <=> C11932[0]	null
R06443		R06443	C11930[0] <=> C11918[0]	null
R06445		R06445	C00688[0] <=> C11927[0]	null
R06446		R06446	C11922[0] <=> C11923[0]	null
R06447	(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate cistransferase (adding 8 isopentenyl units)	R06447	C00448[0] + (8) C00129[0] <=> C04574[0] + (8) C00013[0]	2.5.1.31
R06448		R06448	(5) C02557[0] + (2) C00083[0] + C18026[0] + (7) C00005[0] + (7) C00080[0] <=> (8) C00010[0] + C12000[0] + (8) C00011[0] + (3) C00001[0] + (7) C00006[0]	null
R06449		R06449	C12001[0] + (2) C00005[0] + (2) C00007[0] + (2) C00080[0] <=> C20760[0] + (2) C00006[0] + (3) C00001[0]	null
R06450	dTDP-alpha-D-mycaminose:tylactone 5-O-beta-D-mycaminosyltransferase	R06450	C12000[0] + C11933[0] <=> C12001[0] + C00363[0]	2.4.1.316
R06451	dTDP-6-deoxy-alpha-D-allose:5-O-beta-D-mycaminosyltylonolide 23-O-6-deoxy-alpha-D-allosyltransferase	R06451	C12002[0] + C11912[0] <=> C12003[0] + C00363[0]	2.4.1.317
R06452	dTDP-L-mycarose:demethyllactenocin 4'-O-alpha-mycarosyltransferase	R06452	C12003[0] + C11916[0] <=> C02400[0] + C00363[0]	2.4.1.318
R06453		R06453	C00083[0] + (6) C02557[0] + (6) C00005[0] + (6) C00080[0] <=> C11989[0] + (7) C00010[0] + (7) C00011[0] + C00001[0] + (6) C00006[0]	null
R06454		R06454	C11989[0] + (2) C00005[0] + (2) C00080[0] + (2) C00007[0] <=> C11990[0] + (2) C00006[0] + (3) C00001[0]	null
R06455		R06455	C11990[0] + C11920[0] <=> C11991[0] + C00363[0]	null
R06456	S-adenosyl-L-methionine:L-olivosyl-oleandolide B 3-O-methyltransferase	R06456	C11991[0] + C00019[0] <=> C11992[0] + C00021[0]	2.1.1.239
R06457		R06457	C11992[0] + C11911[0] <=> C01946[0] + C00363[0]	null
R06458		R06458	(5) C02557[0] + C00083[0] + (5) C00005[0] + (5) C00080[0] <=> C11993[0] + (6) C00010[0] + (6) C00011[0] + (2) C00001[0] + (5) C00006[0]	null
R06459		R06459	(6) C02557[0] + C00083[0] + (5) C00005[0] + (5) C00080[0] <=> C11997[0] + (7) C00010[0] + (7) C00011[0] + (2) C00001[0] + (5) C00006[0]	null
R06460	dTDP-3-dimethylamino-3,4,6-trideoxy-alpha-D-glucopyranose:10-deoxymethynolide 3-dimethylamino-4,6-dideoxy-alpha-D-glucosyltransferase	R06460	C11993[0] + C11911[0] <=> C11994[0] + C00363[0]	2.4.1.277
R06461	dTDP-3-dimethylamino-3,4,6-trideoxy-alpha-D-glucopyranose:narbonolide 3-dimethylamino-4,6-dideoxy-alpha-D-glucosyltransferase	R06461	C11997[0] + C11911[0] <=> C11998[0] + C00363[0]	2.4.1.277
R06462	10-deoxymethymycin,NADPH:oxygen oxidoreductase (pikromycin-forming)	R06462	C11994[0] + C00005[0] + C00007[0] <=> C11995[0] + C00006[0] + C00001[0]	1.14.13.185
R06463	10-deoxymethymycin,NADPH:oxygen oxidoreductase (pikromycin-forming)	R06463	C11994[0] + C00005[0] + C00007[0] <=> C11996[0] + C00006[0] + C00001[0]	1.14.13.185
R06464	narbomycin,NADPH:oxygen oxidoreductase (pikromycin-forming)	R06464	C11998[0] + C00005[0] + C00080[0] + C00007[0] <=> C11999[0] + C00006[0] + C00001[0]	1.14.13.185
R06465		R06465	C11969[0] + C00005[0] + C00007[0] <=> C11970[0] + C00006[0] + C00001[0]	1.14.-.-
R06466	(3S)-2,3-epoxy-2,3-dihydrosqualene mutase (cyclizing, lupeol-forming)	R06466	C01054[0] <=> C08628[0]	5.4.99.41
R06467		R06467	C11977[0] + C00005[0] + C00007[0] <=> C11978[0] + C00006[0] + C00001[0]	1.14.-.-
R06468		R06468	C11953[0] + C00005[0] + C00007[0] <=> C11954[0] + C00006[0] + C00001[0]	1.14.-.-
R06469	(3S)-2,3-epoxy-2,3-dihydrosqualene mutase (cyclizing, beta-amyrin-forming)	R06469	C01054[0] <=> C08616[0]	5.4.99.39
R06470		R06470	C11961[0] + C00005[0] + C00007[0] <=> C11962[0] + C00006[0] + C00001[0]	1.14.-.-
R06471	(3S)-2,3-epoxy-2,3-dihydrosqualene mutase (cyclizing, alpha-amyrin-forming)	R06471	C01054[0] <=> C08615[0]	5.4.99.40
R06472		R06472	C11970[0] + C00005[0] + C00080[0] <=> C11971[0] + C00006[0]	null
R06473		R06473	C11978[0] + C00005[0] + C00080[0] <=> C11979[0] + C00006[0]	null
R06474		R06474	C11954[0] + C00005[0] + C00080[0] <=> C11955[0] + C00006[0]	null
R06475		R06475	C11962[0] + C00005[0] + C00080[0] <=> C11963[0] + C00006[0]	null
R06476		R06476	C11971[0] + C00019[0] <=> C11972[0] + C00021[0]	2.1.1.-
R06477		R06477	C11979[0] + C00019[0] <=> C11980[0] + C00021[0]	2.1.1.-
R06478		R06478	C11955[0] + C00019[0] <=> C11956[0] + C00021[0]	2.1.1.-
R06479		R06479	C11963[0] + C00019[0] <=> C11964[0] + C00021[0]	2.1.1.-
R06480		R06480	C01033[0] + (5) C02557[0] + (7) C00083[0] + (9) C00005[0] + (9) C00080[0] <=> C11969[0] + (12) C00011[0] + (13) C00010[0] + (5) C00001[0] + (9) C00006[0]	null
R06481		R06481	C01033[0] + (5) C02557[0] + (7) C00083[0] + (9) C00005[0] + (9) C00080[0] <=> C11977[0] + (12) C00011[0] + (13) C00010[0] + (6) C00001[0] + (9) C00006[0]	null
R06482		R06482	C00630[0] + (5) C02557[0] + (7) C00083[0] + (9) C00005[0] + (9) C00080[0] <=> C11953[0] + (12) C00011[0] + (13) C00010[0] + (5) C00001[0] + (9) C00006[0]	null
R06483		R06483	C00630[0] + (5) C02557[0] + (7) C00083[0] + (9) C00005[0] + (9) C00080[0] <=> C11961[0] + (12) C00011[0] + (13) C00010[0] + (6) C00001[0] + (9) C00006[0]	null
R06484		R06484	C11971[0] + C11921[0] <=> C11973[0] + C00363[0]	2.4.1.-
R06485		R06485	C11973[0] + C11921[0] <=> C11975[0] + C00363[0]	2.4.1.-
R06486		R06486	C11972[0] + C11921[0] <=> C11974[0] + C00363[0]	2.4.1.-
R06487		R06487	C11974[0] + C11921[0] <=> C11976[0] + C00363[0]	2.4.1.-
R06488		R06488	C11979[0] + C11921[0] <=> C11981[0] + C00363[0]	2.4.1.-
R06489		R06489	C11981[0] + C11921[0] <=> C11983[0] + C00363[0]	2.4.1.-
R06490		R06490	C11980[0] + C11921[0] <=> C11982[0] + C00363[0]	2.4.1.-
R06491		R06491	C11982[0] + C11921[0] <=> C11984[0] + C00363[0]	2.4.1.-
R06492		R06492	C11955[0] + C11921[0] <=> C11957[0] + C00363[0]	2.4.1.-
R06493		R06493	C11957[0] + C11921[0] <=> C11959[0] + C00363[0]	2.4.1.-
R06494		R06494	C11956[0] + C11921[0] <=> C11958[0] + C00363[0]	2.4.1.-
R06495		R06495	C11958[0] + C11921[0] <=> C11960[0] + C00363[0]	2.4.1.-
R06496		R06496	C11963[0] + C11921[0] <=> C11965[0] + C00363[0]	2.4.1.-
R06497		R06497	C11965[0] + C11921[0] <=> C11967[0] + C00363[0]	2.4.1.-
R06498		R06498	C11964[0] + C11921[0] <=> C11966[0] + C00363[0]	2.4.1.-
R06499		R06499	C11966[0] + C11921[0] <=> C11968[0] + C00363[0]	2.4.1.-
R06500		R06500	C08980[0] <=> C08983[0]	null
R06501		R06501	C08616[0] + C00007[0] <=> C08980[0]	null
R06502	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate delta8,11-delta7,9-isomerase	R06502	C06428[0] <=> C12083[0]	5.3.3.13
R06503		R06503	C11985[0] <=> C11986[0]	null
R06504		R06504	C11985[0] <=> C11987[0]	null
R06505		R06505	C11985[0] <=> C11988[0]	null
R06506		R06506	C06616[0] + C11919[0] <=> C11985[0] + C00363[0]	null
R06510		R06510	C00024[0] + (2) C00083[0] <=> C02752[0] + (3) C00010[0] + (2) C00011[0]	null
R06513	dTDPglucose 4,6-hydro-lyase	R06513	C00842[0] <=> C11907[0] + C00001[0]	4.2.1.46
R06514	dTDP-4-dehydro-6-deoxy-alpha-D-glucose 3,5-epimerase|dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase	R06514	C11907[0] <=> C00688[0]	5.1.3.13
R06515	(3R)-3-isopropenyl-6-oxoheptanoate:CoA ligase (AMP-forming)	R06515	C11405[0] + C00010[0] + C00002[0] <=> C11407[0] + C00001[0] + C00020[0] + C00013[0]	6.2.1.-
R06516	sphingosine-1-phosphate palmitaldehyde-lyase (phosphoethanolamine-forming)	R06516	C06124[0] <=> C00346[0] + C06123[0]	4.1.2.27|4.1.2.-
R06517	acyl-CoA:sphingosine N-acyltransferase	R06517	C00040[0] + C00836[0] <=> C00010[0] + C12126[0]	2.3.1.24
R06518	N-acylsphingosine amidohydrolase	R06518	C12126[0] + C00001[0] <=> C00162[0] + C00836[0]	3.5.1.23
R06519		R06519	C12126[0] + C00030[0] + C00007[0] <=> C00195[0] + C00028[0] + (2) C00001[0]	1.14.-.-
R06520	3-sn-phosphatidate phosphohydrolase	R06520	C01120[0] + C00001[0] <=> C00836[0] + C00009[0]	3.1.3.4|3.1.3.-
R06521	3-sn-phosphatidate phosphohydrolase	R06521	C06124[0] + C00001[0] <=> C00319[0] + C00009[0]	3.1.3.4|3.1.3.-
R06522	3-sn-phosphatidate phosphohydrolase	R06522	C02960[0] + C00001[0] <=> C00195[0] + C00009[0]	3.1.3.4|3.1.3.-
R06523	trans,trans-farnesyl-diphosphate diphosphate-lyase (cyclizing, vetispiradiene-forming)	R06523	C00448[0] <=> C12142[0] + C00013[0]	4.2.3.21
R06525	sphinganine, NADPH: oxygen oxidoreductase (C4-hydroxylating)	R06525	C00836[0] + C00005[0] + C00080[0] + C00007[0] <=> C12144[0] + C00006[0] + C00001[0]	1.14.13.169
R06526	dihydroceramide, NADPH: oxygen oxidoreductase (4-hydroxylating)	R06526	C12126[0] + C00005[0] + C00080[0] + C00007[0] <=> C12145[0] + C00006[0] + C00001[0]	1.14.13.169
R06527	acyl-CoA: phytosphingosine N-acyltransferase	R06527	C12146[0] + C12144[0] <=> C00010[0] + C12145[0]	2.3.1.24
R06528	Phytoceramide amidohydrolase	R06528	C12145[0] + C00001[0] <=> C00162[0] + C12144[0]	3.5.1.23
R06529	adenosylcobyric acid:(R)-1-aminopropan-2-yl phosphate ligase	R06529	C06507[0] + C04122[0] + C00002[0] <=> C06509[0] + C00008[0] + C00009[0]	6.3.1.10
R06530	L-threonine-O-3-phosphate carboxy-lyase	R06530	C12147[0] <=> C04122[0] + C00011[0]	4.1.1.81
R06531	ATP:L-threonine O-phosphotransferase	R06531	C00188[0] + C00002[0] <=> C12147[0] + C00008[0]	2.7.1.177
R06532	(2R,3S)-catechin:NADP+ 4-oxidoreductase	R06532	C05906[0] + C00005[0] + C00080[0] <=> C06562[0] + C00006[0] + C00001[0]	1.17.1.3
R06533	(2R,3S)-gallocatechin:NADP+ 4-oxidoreductase	R06533	C05909[0] + C00005[0] + C00080[0] <=> C12127[0] + C00006[0] + C00001[0]	1.17.1.3
R06534	UDP-glucose:anthocyanidin 3-O-D-glucosyltransferase	R06534	C05904[0] + C00029[0] <=> C12137[0] + C00015[0]	2.4.1.115
R06535	UDP-glucose:anthocyanidin 3-O-D-glucosyltransferase	R06535	C05905[0] + C00029[0] <=> C08604[0] + C00015[0]	2.4.1.115
R06536	UDP-glucose:anthocyanidin 3-O-D-glucosyltransferase	R06536	C05908[0] + C00029[0] <=> C12138[0] + C00015[0]	2.4.1.115
R06537	apigenin,NADPH:oxygen oxidoreductase (3'-hydroxylating)	R06537	C01477[0] + C00005[0] + C00080[0] + C00007[0] <=> C01514[0] + C00006[0] + C00001[0]	1.14.13.21|1.14.13.88
R06538	kaempferol,NADPH:oxygen oxidoreductase (3'-hydroxylating)	R06538	C05903[0] + C00005[0] + C00080[0] + C00007[0] <=> C00389[0] + C00006[0] + C00001[0]	1.14.13.21|1.14.13.88
R06539	dihydroflavonol,2-oxoglutarate:oxygen oxidoreductase	R06539	C02906[0] + C00026[0] + C00007[0] <=> C10107[0] + C00042[0] + C00011[0] + C00001[0]	1.14.11.23
R06540	leucocyanidin,2-oxoglutarate:oxygen oxidoreductase	R06540	C03648[0] + C00026[0] + C00007[0] <=> C00974[0] + C00042[0] + C00011[0] + C00001[0]	1.14.11.19
R06541	flavan-3-ol:NADP+ oxidoreductase	R06541	C12128[0] + (2) C00006[0] <=> C05904[0] + (2) C00005[0] + C00080[0]	1.3.1.77
R06542	flavan-3-ol:NADP+ oxidoreductase	R06542	C09727[0] + (2) C00006[0] <=> C05905[0] + (2) C00005[0] + C00080[0]	1.3.1.77
R06543	flavan-3-ol:NADP+ oxidoreductase	R06543	C12136[0] + (2) C00006[0] <=> C05908[0] + (2) C00005[0] + C00080[0]	1.3.1.77
R06544	4-hydroxycinnamoyl-CoA:cyanidin-3-O-glucoside 6''-O-acyltransferase	R06544	C08604[0] + C00223[0] <=> C12095[0] + C00010[0]	2.3.1.215
R06545	4-hydroxycinnamoyl-CoA:cyanidin 3,5-O-diglucoside 6''-O-acyltransferase	R06545	C08639[0] + C00223[0] <=> C12096[0] + C00010[0]	2.3.1.215
R06546	UDP-alpha-D-glucose:cyanidin-3-O-beta-D-glucoside 5-O-glucosyltransferase	R06546	C08604[0] + C00029[0] <=> C08639[0] + C00015[0]	2.4.1.298
R06547	UDP-alpha-D-glucose:cyanidin-3-O-(6-O-p-coumaroyl)glucoside 5-O-glucosyltransferase	R06547	C12095[0] + C00029[0] <=> C12096[0] + C00015[0]	2.4.1.298
R06548		R06548	C08604[0] <=> C12141[0]	null
R06549		R06549	C12138[0] <=> C12139[0]	null
R06550		R06550	C12138[0] <=> C12140[0]	null
R06551	flavanone,2-oxoglutarate:oxygen oxidoreductase (dehydrating)	R06551	C05911[0] + C00026[0] + C00007[0] <=> C10192[0] + C00042[0] + C00011[0] + C00001[0]	1.14.11.22
R06553		R06553	C00509[0] <=> C06563[0]	null
R06554		R06554	C09762[0] <=> C10208[0]	null
R06556	flavanone lyase (decyclizing)	R06556	C08650[0] <=> C09762[0]	5.5.1.6
R06558		R06558	C06508[0] + C00044[0] <=> C06509[0] + C00035[0]	2.7.1.156
R06560	formononetin,NADPH:oxygen oxidoreductase (2'-hydroxylating)	R06560	C00858[0] + C00005[0] + C00007[0] + C00080[0] <=> C02920[0] + C00006[0] + C00001[0]	1.14.13.53|1.14.13.89
R06561	biochanin A,NADPH:oxygen oxidoreductase (2'-hydroxylating)	R06561	C00814[0] + C00005[0] + C00007[0] + C00080[0] <=> C12135[0] + C00006[0] + C00001[0]	1.14.13.89
R06562	vestitone:NADP+ oxidoreductase	R06562	C02920[0] + C00005[0] + C00080[0] <=> C00786[0] + C00006[0]	1.3.1.45
R06563	ferreirin:NADP+ oxidoreductase	R06563	C12135[0] + C00005[0] + C00080[0] <=> C10419[0] + C00006[0]	1.3.1.45
R06564	S-adenosyl-L-methionine:isoflavone 4'-O-methyltransferase	R06564	C10208[0] + C00019[0] <=> C00858[0] + C00021[0]	2.1.1.212
R06565		R06565	C00786[0] <=> C10503[0]	null
R06568	malonyl-CoA:4-coumaroyl-CoA malonyltransferase (cyclizing, reducing)	R06568	C00223[0] + (3) C00083[0] + C00005[0] + C00080[0] <=> C08650[0] + (4) C00010[0] + (3) C00011[0] + C00006[0] + C00001[0]	2.3.1.170
R06569	cinnamaldehyde:NADP+ oxidoreductase (CoA-cinnamoylating)	R06569	C12203[0] + C00005[0] + C00080[0] <=> C12204[0] + C00010[0] + C00006[0]	1.2.1.44
R06570	cinnamyl-alcohol:NADP+ oxidoreductase	R06570	C12204[0] + C00005[0] + C00080[0] <=> C12205[0] + C00006[0]	1.1.1.195
R06571	cinnamyl-alcohol:NADP+ oxidoreductase	R06571	C10945[0] + C00005[0] + C00080[0] <=> C12206[0] + C00006[0]	1.1.1.195
R06572		R06572	C02666[0] + C00005[0] + C00080[0] + C00007[0] <=> C12204[0] + C00006[0] + C00001[0]	1.14.13.-
R06573		R06573	C00590[0] + C00005[0] + C00080[0] + C00007[0] <=> C12205[0] + C00006[0] + C00001[0]	1.14.13.-
R06574	caffeic aldehyde:3,4-dihydroxy-trans-cinnamate 3-O-methyltransferase	R06574	C10945[0] + C00019[0] <=> C02666[0] + C00021[0]	2.1.1.68
R06575	S-adenosyl-L-methionine:3,4-dihydroxy-trans-cinnamate 3-O-methyltransferase	R06575	C12206[0] + C00019[0] <=> C00590[0] + C00021[0]	2.1.1.68
R06576	S-adenosyl-L-methionine:3,4-dihydroxy-trans-cinnamate 3-O-methyltransferase	R06576	C12204[0] + C00019[0] <=> C05610[0] + C00021[0]	2.1.1.68
R06577	S-adenosyl-L-methionine:3,4-dihydroxy-trans-cinnamate 3-O-methyltransferase	R06577	C12205[0] + C00019[0] <=> C02325[0] + C00021[0]	2.1.1.68
R06578	S-adenosyl-L-methionine:caffeoyl-CoA 3-O-methyltransferase	R06578	C12203[0] + C00019[0] <=> C00411[0] + C00021[0]	2.1.1.104
R06579		R06579	C05608[0] <=> C10945[0]	1.14.13.-
R06580		R06580	C02646[0] <=> C12206[0]	null
R06582	trans-5-O-(4-coumaroyl)-D-shikimate,NADPH:oxygen oxidoreductase (3'-hydorxylating)	R06582	C02947[0] + C00007[0] + C00005[0] + C00080[0] <=> C10434[0] + C00006[0] + C00001[0]	1.14.13.36
R06583	4-coumarate:CoA ligase (AMP-forming)	R06583	C05619[0] + C00010[0] + C00002[0] <=> C12203[0] + C00020[0] + C00013[0]	6.2.1.12
R06584		R06584	C00406[0] <=> C12203[0]	null
R06585		R06585	C03004[0] + C00007[0] + C00005[0] + C00080[0] <=> C04353[0] + C00011[0] + C00006[0] + (2) C00001[0]	1.14.13.41
R06586	UDP-3-ketoglucose:L-glutamate aminotransferase	R06586	C12210[0] + C00025[0] <=> C12211[0] + C00026[0]	2.6.1.-
R06587		R06587	C12211[0] <=> C12212[0]	null
R06588	ATP:kanosamine 6-phosphotransferase	R06588	C00002[0] + C12212[0] <=> C00008[0] + C12213[0]	2.7.1.179
R06589		R06589	C12213[0] <=> C12214[0]	5.3.1.-
R06590	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehydetransferase|sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehydetransferase	R06590	C12214[0] + C00117[0] <=> C12215[0] + C05382[0]	2.2.1.1
R06591	phosphoenolpyruvate:imino-D-erythrose-4-phosphate C-(1-carboxyvinyl)transferase (phosphate hydrolysing, 2-carboxy-2-oxoethyl-forming)	R06591	C12215[0] + C00074[0] + C00001[0] <=> C12106[0] + C00009[0]	null
R06592		R06592	C12106[0] <=> C12109[0] + C00009[0]	null
R06593		R06593	C12109[0] <=> C12108[0] + C00001[0]	null
R06594		R06594	C00029[0] + C00003[0] <=> C12210[0] + C00004[0] + C00080[0]	null
R06595	5-amino-5-deoxy-3-dehydroshikimate hydro-lyase (3-amino-5-hydroxybenzoate-forming)	R06595	C12108[0] <=> C12107[0] + C00001[0]	4.2.1.144
R06597		R06597	C12176[0] <=> C12246[0]	null
R06598		R06598	C12246[0] <=> C12247[0]	null
R06599		R06599	C12176[0] <=> C14721[0]	null
R06600		R06600	C12044[0] <=> C01848[0]	null
R06601	5-hydroxyisourate amidohydrolase	R06601	C11821[0] + C00001[0] <=> C12248[0]	3.5.2.17
R06602	isochorismate pyruvate-lyase (salicylate-forming)	R06602	C00885[0] <=> C00805[0] + C00022[0]	4.2.99.21
R06603		R06603	C00251[0] <=> C00805[0] + C00022[0]	null
R06604	5-hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate carboxy-lyase [(S)-allantoin-forming]	R06604	C12248[0] <=> C02350[0] + C00011[0]	4.1.1.97
R06605		R06605	C12248[0] + C00080[0] <=> C02348[0] + C00011[0]	null
R06606	formononetin,NADPH:oxygen oxidoreductase (2'-hydroxylating)	R06606	C10208[0] + C00005[0] + C00080[0] + C00007[0] <=> C02495[0] + C00006[0] + C00001[0]	1.14.13.89
R06607	formononetin,NADPH:oxygen oxidoreductase (2'-hydroxylating)	R06607	C06563[0] + C00005[0] + C00080[0] + C00007[0] <=> C12134[0] + C00006[0] + C00001[0]	1.14.13.89
R06610	(2S)-flavan-4-ol:NADP+ 4-oxidoreductase|cis-3,4-leucopelargonidin:NADP+ 4-oxidoreductase	R06610	C00509[0] + C00005[0] + C00080[0] <=> C12124[0] + C00006[0]	1.1.1.234
R06611	UDPglucose:flavonol 3-O-D-glucosyltransferase	R06611	C05903[0] + C00029[0] <=> C12249[0] + C00015[0]	2.4.1.91
R06612		R06612	C17938[0] <=> C17937[0]	null
R06613	5,10-methylenetetrahydrofolate,NADPH:dUMP C-methyltransferase	R06613	C00143[0] + C00365[0] + C00005[0] + C00080[0] <=> C00101[0] + C00364[0] + C00006[0]	2.1.1.148
R06614	3-cyano-L-alanine carboxy-lyase (3-aminopropiononitrile-forming)	R06614	C02512[0] <=> C05670[0] + C00011[0]	4.1.1.-
R06615	(2R,3S)-afzelechin:NADP+ 4-oxidoreductase	R06615	C03648[0] + C00005[0] + C00080[0] <=> C09320[0] + C00006[0] + C00001[0]	1.17.1.3
R06617		R06617	C11864[0] <=> C11867[0]	null
R06618		R06618	C11867[0] <=> C01699[0]	null
R06619		R06619	C11864[0] <=> C00859[0]	null
R06620	D-glucose:ubiquinone oxidoreductase	R06620	C00031[0] + C00399[0] <=> C00198[0] + C00390[0]	1.1.5.2
R06621		R06621	C12313[0] + C00003[0] <=> C01147[0] + C00004[0]	1.1.1.174
R06622		R06622	C00005[0] + C01147[0] + C00080[0] + C00007[0] <=> C00006[0] + C12314[0] + C00001[0]	1.14.13.22
R06623	glycoprotein-phosphatidylinositol phosphatidohydrolase	R06623	G00144[0] + C00001[0] <=> G12396[0] + C00416[0]	3.1.4.50
R06624	3,5-dihydroxyphenylacetyl-CoA:oxygen oxidoreductase (3,5-dihydroxyphenylglyoxylate-forming)	R06624	C12324[0] + C00007[0] <=> C12325[0] + C00010[0]	null
R06625		R06625	(4) C00083[0] <=> C12324[0] + (3) C00010[0] + (4) C00011[0] + C00001[0]	null
R06626		R06626	C03590[0] + C00082[0] <=> C12323[0] + C01179[0]	2.6.1.103
R06627		R06627	C12318[0] + C00019[0] <=> C12319[0] + C00021[0]	null
R06628		R06628	C12319[0] <=> C12320[0]	null
R06629		R06629	C12320[0] + C00005[0] + C00080[0] <=> C12321[0] + C00006[0]	null
R06630		R06630	C12320[0] <=> C12322[0]	null
R06631		R06631	C11930[0] + C00647[0] <=> C12318[0] + C00018[0]	null
R06632	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)	R06632	C01179[0] + C00007[0] <=> C03198[0] + C00011[0]	1.13.11.46
R06633	(S)-4-hydroxymandelate:oxygen 1-oxidoreductase	R06633	C03198[0] + C00007[0] <=> C03590[0] + C00027[0]	1.1.3.46
R06634	(S)-3,5-dihydroxyphenylglycine:2-oxoglutarate aminotransferase	R06634	C12026[0] + C00026[0] <=> C12325[0] + C00025[0]	2.6.1.103
R06635		R06635	C00024[0] + (7) C00083[0] + C00229[0] <=> C12348[0] + (7) C00011[0] + (7) C00010[0]	2.3.1.-
R06637		R06637	C00136[0] + (7) C00083[0] + C00229[0] <=> C12350[0] + (7) C00011[0] + (7) C00010[0]	2.3.1.-
R06641		R06641	C06625[0] + (8) C00083[0] + C00229[0] <=> C12441[0] + (8) C00011[0] + (9) C00010[0]	2.3.1.-
R06642		R06642	C12441[0] + C00005[0] + C00080[0] <=> C12442[0] + C00006[0]	1.1.1.-
R06643		R06643	(10) C00083[0] + C00229[0] <=> C12354[0] + (10) C00011[0] + (10) C00010[0]	2.3.1.-
R06644		R06644	C00100[0] + (9) C00083[0] + C00229[0] <=> C12355[0] + (9) C00011[0] + (9) C00010[0]	2.3.1.-
R06645		R06645	C00136[0] + (9) C00083[0] + C00229[0] <=> C12356[0] + (9) C00011[0] + (9) C00010[0]	2.3.1.-
R06650		R06650	C12396[0] <=> C12397[0] + C00001[0]	null
R06651		R06651	C12397[0] <=> C12398[0]	null
R06652		R06652	C12398[0] <=> C12400[0]	null
R06653		R06653	C12397[0] <=> C12399[0]	null
R06654		R06654	C12399[0] <=> C12400[0]	null
R06655		R06655	C12400[0] <=> C12401[0]	null
R06656		R06656	C12396[0] <=> C12402[0]	null
R06659		R06659	C12404[0] + C12447[0] <=> C12405[0] + C00363[0]	null
R06660	dTDP-D-olivose:compound-100-1 O-beta-D-olivosyltransferase	R06660	C12405[0] + C11923[0] <=> C12406[0] + C00363[0]	2.4.1.-
R06661		R06661	C12404[0] <=> C12407[0]	null
R06662		R06662	C12407[0] + C12447[0] + C11923[0] <=> C12409[0] + (2) C00363[0]	null
R06664		R06664	C12410[0] + (2) C12447[0] + C11923[0] <=> C12411[0] + (3) C00363[0]	null
R06665		R06665	C12410[0] <=> C12412[0] + C00001[0]	null
R06666		R06666	C12412[0] + C12447[0] <=> C12408[0] + C00363[0]	null
R06667		R06667	C12408[0] + C12447[0] <=> C12414[0] + C00363[0]	null
R06668	dTDP-D-olivose:urdamycin-G D-olivosyltransferase	R06668	C12414[0] + C11923[0] <=> C12413[0] + C00363[0]	2.4.1.-
R06670		R06670	C18680[0] <=> C12395[0]	2.4.1.-
R06671		R06671	C12390[0] <=> C12391[0]	null
R06672		R06672	C12391[0] <=> C12392[0]	null
R06673		R06673	C12392[0] <=> C12393[0]	null
R06674		R06674	C12393[0] <=> C12394[0]	null
R06675	S-adenosyl-L-methionine:nogalonic-acid O-methyltransferase	R06675	C12416[0] + C00019[0] <=> C12415[0] + C00021[0]	2.1.1.-
R06676	auraviketone lyase (decyclizing)	R06676	C12415[0] <=> C12417[0]	5.5.1.23
R06677	auramycinone:NADP+ 7-oxidoreductase	R06677	C12417[0] + C00005[0] + C00080[0] <=> C12419[0] + C00006[0]	1.1.1.-
R06678		R06678	C12415[0] <=> C12418[0]	null
R06679		R06679	C12420[0] + C00007[0] <=> C12421[0] + C00001[0]	null
R06680	S-adenosyl-L-methionine:aklanoate O-methyltransferase	R06680	C12421[0] + C00019[0] <=> C12422[0] + C00021[0]	2.1.1.288
R06681	aklaviketone lyase (decyclizing)	R06681	C12422[0] <=> C12423[0]	5.5.1.23
R06682	aklavinone:NADP+ 7-oxidoreductase	R06682	C12423[0] + C00005[0] + C00080[0] <=> C12424[0] + C00006[0]	1.1.1.362|1.1.1.-
