ID	NAMES	METACYC	EQUATION	ECs
RXN-5141		RXN-5141	S-ADENOSYLMETHIONINE[0] + R-NORCOCLAURINE[0] => ADENOSYL-HOMO-CYS[0] + R-COCLAURINE[0] + PROTON[0]	EC-2.1.1.128
RXN-19226		RXN-19226	UDP-GLUCURONATE[0] + CPD-20710[0] => UDP[0] + CPD-20721[0] + PROTON[0]	EC-2.4.1
DADPKIN-RXN		DADPKIN-RXN	DADP[0] + ATP[0] => DATP[0] + ADP[0]	EC-2.7.4.6
RXN-7626	(R)-3-(4-hydroxyphenyl)lactate acyltransferase	RXN-7626	CPD-2222[0] + P-COUMAROYL-COA[0] <=> CPD-6976[0] + CO-A[0]	EC-2.3.1
RXN-9664		RXN-9664	EPOXYSQUALENE[0] <=> CPD-10285[0]	EC-5.4.99.53
RXN-19609		RXN-19609	CPD-9674[0] + WATER[0] => GLYOX[0] + (2) CL-[0] + (2) PROTON[0]	-
RXN-19885		RXN-19885	INDOLE-PROPIONATE[0] + ETF-Oxidized[0] + PROTON[0] <= CPD-11578[0] + ETF-Reduced[0]	EC-1.3.8.M4
RXN-16436		RXN-16436	CPD-7847[0] + NADH[0] + PROTON[0] + OXYGEN-MOLECULE[0] <=> CPD-17665[0] + NAD[0] + WATER[0]	EC-1.14.13
R346-RXN		R346-RXN	ADENOSYLCOBINAMIDE[0] + WATER[0] <=> 1-AMINO-PROPAN-2-OL[0] + CPD-691[0]	EC-3.5.1.90
PNKIN-RXN		PNKIN-RXN	ATP[0] + PYRIDOXINE[0] => PROTON[0] + ADP[0] + PYRIDOXINE-5P[0]	EC-2.7.1.35
RXN-4201		RXN-4201	CPD-12575[0] + CPD-3402[0] <=> PROTON[0] + CPD-4122[0] + UDP[0]	EC-2.4.1.170
RXN-19640		RXN-19640	CPD-13571[0] <=> CPD-21269[0]	-
RXN-17834		RXN-17834	CPD-9418[0] + OXYGEN-MOLECULE[0] <=> NOCARDICIN-E[0] + WATER[0] + PROTON[0]	-
RXN-4161		RXN-4161	CPD-4081[0] <=> CPD-4101[0]	EC-5.3.3.5
SUCCARGDIHYDRO-RXN		SUCCARGDIHYDRO-RXN	(2) PROTON[0] + CPD-421[0] + (2) WATER[0] <=> (2) AMMONIUM[0] + N2-SUCCINYLORNITHINE[0] + CARBON-DIOXIDE[0]	EC-3.5.3.23
RXN0-5222	cyanate C-N-lyase|cyanate hydrolase|cyanate aminohydrolase|cyanate hydratase|carbamate hydro-lyase|cyanase|cyanate lyase	RXN0-5222	CARBAMATE[0] + (2) PROTON[0] <=> AMMONIUM[0] + CARBON-DIOXIDE[0]	-
TRANS-RXN-343		TRANS-RXN-343	ALPHA-RIBAZOLE[1] <=> ALPHA-RIBAZOLE[0]	-
RXN-11262		RXN-11262	CPD-12214[0] + (3) OXYGEN-MOLECULE[0] + (3) Red-NADPH-Hemoprotein-Reductases[0] <=> CPD-11667[0] + (3) WATER[0] + (3) Ox-NADPH-Hemoprotein-Reductases[0]	EC-1.14.14
RXN-7674		RXN-7674	CPD-7014[0] + PHYTYL-PYROPHOSPHATE[0] + (2) PROTON[0] <=> CHLOROPHYLL-B[0] + PPI[0]	EC-2.5.1.62
RXN-14545		RXN-14545	S-ADENOSYLMETHIONINE[0] + CPD-15420[0] => ADENOSYL-HOMO-CYS[0] + CPD-15419[0] + PROTON[0]	EC-2.1.1.285
RXN-8456		RXN-8456	CPD-8633[0] + OXYGEN-MOLECULE[0] <=> CPD-8635[0] + WATER[0]	EC-1.21.3.6
RXN-7564		RXN-7564	ARG[0] + 2-KETOGLUTARATE[0] <=> GLT[0] + CPD-824[0]	EC-2.6.1
R562-RXN	6-aminohexanoate transaminase	R562-RXN	CPD-884[0] + 2-KETOGLUTARATE[0] => 6-OXO-HEXANOATE[0] + GLT[0]	EC-2.6.1.af
RXN-16059		RXN-16059	CPD-11446[0] + (2) Oxidized-ferredoxins[0] <=> CPD-17309[0] + (2) Reduced-ferredoxins[0] + (2) PROTON[0]	EC-1.3.7
RXN-9455		RXN-9455	CPD-10113[0] <=> CPD-10114[0] + PPI[0]	EC-4.2.3.36
SORB6PDEHYDROG-RXN		SORB6PDEHYDROG-RXN	D-SORBITOL-6-P[0] + NAD[0] <=> CPD-15709[0] + NADH[0] + PROTON[0]	EC-1.1.1.140
RXN-15606		RXN-15606	(2) P-HYDROXY-PHENYLPYRUVATE[0] + (2) ATP[0] <=> CPD-14619[0] + (2) AMP[0] + (2) PPI[0]	-
RXN-11039		RXN-11039	ETOH[0] + Ubiquinones[0] <=> ACETALD[0] + Ubiquinols[0]	EC-1.1.5.5
F16ALDOLASE-RXN		F16ALDOLASE-RXN	FRUCTOSE-16-DIPHOSPHATE[0] <=> DIHYDROXY-ACETONE-PHOSPHATE[0] + GAP[0]	EC-4.1.2.13
RXN-16822		RXN-16822	tRNA-uridines[0] + GTP[0] + TAURINE[0] + WATER[0] + METHYLENE-THF-GLU-N[0] + Acceptor[0] => tRNA-containing-5-taurinomethyluridine[0] + GDP[0] + Pi[0] + DIHYDROFOLATE-GLU-N[0] + (2) PROTON[0] + Donor-H2[0]	-
SULFITE-REDUCT-RXN		SULFITE-REDUCT-RXN	(3) WATER[0] + (3) NADP[0] + HS[0] <= (5) PROTON[0] + SO3[0] + (3) NADPH[0]	EC-1.8.1.2
RXN-9229	3-demethylubiquinone-7 3-O-methyltransferase|5-demethylubiquinone-7 methyltransferase	RXN-9229	S-ADENOSYLMETHIONINE[0] + CPD-9861[0] <=> PROTON[0] + CPD-9955[0] + ADENOSYL-HOMO-CYS[0]	EC-2.1.1.64
ABC-32-RXN		ABC-32-RXN	ATP[0] + THIAMINE[1] + WATER[0] => ADP[0] + Pi[0] + THIAMINE[0] + PROTON[0]	EC-7.6.2.p
RXN-15281		RXN-15281	3-oxo-dodecanoyl-ACPs[0] + WATER[0] <=> 3-OXODODECANOATE[0] + ACP[0] + PROTON[0]	EC-3.1.2
RXN-10454		RXN-10454	CPD-11232[0] => CPD-11259[0]	-
TRANS-RXN0-461		TRANS-RXN0-461	CPD-560[0] => CPD-560[1]	-
RXN-19450		RXN-19450	2-3-DIHYDROXYBENZOATE[0] + Holo-DhbB[0] + ATP[0] <=> 23-dihydroxybenzoyl-DhbB[0] + AMP[0] + PPI[0]	EC-6.2.1.ac
3.4.11.16-RXN		3.4.11.16-RXN	Protein-With-N-Terminal-X-Trp[0] + WATER[0] => Amino-Acids-20[0] + Protein-With-N-Terminal-Tryptophans[0] + PROTON[0]	EC-3.4.11.16
3.1.1.64-RXN	all-trans-retinyl-palmitate hydrolase|all-trans-retinyl-palmitate acylhydrolase	3.1.1.64-RXN	CHOCOLA_A[0] + WATER[0] => CPD-13524[0] + PALMITATE[0] + PROTON[0]	EC-3.1.1.1
RXN-8535		RXN-8535	PROTON[0] + CPD-8699[0] + NADPH[0] + OXYGEN-MOLECULE[0] <=> CPD-8726[0] + NADP[0] + WATER[0]	EC-1.14.13
RXN-18257		RXN-18257	CPD-13118[0] + aNeuAc-23-bGal-13-bGlcNAC-R[0] => sLea-Antigen[0] + PROTON[0] + GDP[0]	EC-2.4.1.65
RXN-15746		RXN-15746	ANTHRANILATE[0] + TRP[0] + L-ALPHA-ALANINE[0] + (3) ATP[0] <=> CPD-16968[0] + (3) PPI[0] + (3) AMP[0] + WATER[0] + (2) PROTON[0]	EC-6.3.2
PPENTOMUT-RXN		PPENTOMUT-RXN	RIBOSE-1P[0] <=> RIBOSE-5P[0]	EC-5.4.2.7
1.6.4.4-RXN		1.6.4.4-RXN	Protein-Dithiols[0] + NAD-P-OR-NOP[0] <=> Protein-Disulfides[0] + NADH-P-OR-NOP[0] + PROTON[0]	EC-1.8.1.8
RXN-17876		RXN-17876	L-methionyl-L-seryl-Protein[0] + WATER[0] => N-terminal-L-Serine[0] + MET[0]	EC-3.4.11.18
RXN-16291		RXN-16291	CPD-18312[0] + VAL[0] + ATP[0] <=> CPD-17539[0] + ADP[0] + Pi[0] + PROTON[0]	EC-6.3.2.47
ISOPROPANOL-DEHYDROGENASE-NADP+-RXN		ISOPROPANOL-DEHYDROGENASE-NADP+-RXN	ISO-PROPANOL[0] + NADP[0] <=> ACETONE[0] + NADPH[0] + PROTON[0]	EC-1.1.1.80
1.3.1.66-RXN		1.3.1.66-RXN	NAD[0] + CIS-12-DIHYDRO-3-ETHYLCATECHOL[0] <=> PROTON[0] + NADH[0] + 3-ETHYLCATECHOL[0]	EC-1.3.1.66
RXN66-496		RXN66-496	CPD66-69[0] + OXYGEN-MOLECULE[0] + (2) Donor-H2[0] <=> CPD66-57[0] + (2) WATER[0] + (2) Acceptor[0]	-
RXN-11237		RXN-11237	FORMATE[0] + ETR-Quinones[0] + PROTON[0] => CARBON-DIOXIDE[0] + ETR-Quinols[0]	EC-1.17.5.3
RXN-8587		RXN-8587	FARNESYL-PP[0] <=> Alpha-selinene[0] + PPI[0]	EC-4.2.3
RXN-7983		RXN-7983	CPD-7227[0] + 2-KETOGLUTARATE[0] + OXYGEN-MOLECULE[0] <=> CPD-7291[0] + SUC[0] + CARBON-DIOXIDE[0] + PROTON[0]	EC-1.14.11.25
RXN-16634		RXN-16634	D-Galactosyl-12-diacyl-glycerols[0] + CPD-10363[0] <=> CPD-10364[0] + DIACYLGLYCEROL[0]	EC-2.4.1.184
RXN-8819		RXN-8819	2-NITROTOLUENE[0] + OXYGEN-MOLECULE[0] + NADH[0] => CPD-111[0] + NITRITE[0] + NAD[0]	EC-1.14.12.23
GLUTAMIDOTRANS-RXN	imidazole glycerol phosphate synthase cyclase subunit|Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)|Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)	GLUTAMIDOTRANS-RXN	PHOSPHORIBULOSYL-FORMIMINO-AICAR-P[0] + GLN[0] => PROTON[0] + GLT[0] + D-ERYTHRO-IMIDAZOLE-GLYCEROL-P[0] + AICAR[0]	EC-4.3.2.10
RXN-13943	kaempferide 3-glucopyranosyl L-rhamnoside glucosyltransferase	RXN-13943	CPD-14962[0] + CPD-12575[0] <=> CPD-14960[0] + UDP[0] + PROTON[0]	EC-2.4.1
RXN-11897		RXN-11897	S-ADENOSYLMETHIONINE[0] + CPD-9522[0] <=> CPD-12869[0] + ADENOSYL-HOMO-CYS[0]	EC-2.1.1.327
RXN66-360		RXN66-360	CORTICOSTERONE[0] + OXYGEN-MOLECULE[0] + (2) Reduced-adrenal-ferredoxins[0] + (2) PROTON[0] <=> 18-HYDROXYCORTICOSTERONE[0] + WATER[0] + (2) Oxidized-adrenal-ferredoxins[0]	EC-1.14.15.5
RXN-6581		RXN-6581	FORMALDEHYDE[0] + CPD1G-2[0] <=> S-HYDROXYMETHYLMYCOTHIOL[0]	-
ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN		ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN	L-ALPHA-ALANINE[0] + 2-Oxo-carboxylates[0] <=> PYRUVATE[0] + L-Amino-Acids[0]	EC-2.6.1.12
RXN-12490		RXN-12490	CPD0-2244[0] + NAD[0] <=> CPD0-2123[0] + NADH[0] + PROTON[0]	EC-1.1.1.35
RXN-15961	terpendole I dimethylallyltransferase	RXN-15961	CPD-17196[0] + CPD-4211[0] <=> CPD-17197[0] + PPI[0]	EC-2.5.1
RXN0-310		RXN0-310	PROTON[0] + METHYL-MALONYL-COA[0] <=> PROPIONYL-COA[0] + CARBON-DIOXIDE[0]	EC-4.1.1.M5
TETHYDPICSUCC-RXN		TETHYDPICSUCC-RXN	WATER[0] + DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE[0] + SUC-COA[0] => N-SUCCINYL-2-AMINO-6-KETOPIMELATE[0] + CO-A[0]	EC-2.3.1.117
RXN-19053		RXN-19053	CPD-20524[0] + OXYGEN-MOLECULE[0] + Red-NADPH-Hemoprotein-Reductases[0] => CPD-20525[0] + WATER[0] + Ox-NADPH-Hemoprotein-Reductases[0]	EC-1.14.14.75
PYRROLINECARBDEHYDROG-RXN	1-pyrroline-5-carboxylate dehydrogenase	PYRROLINECARBDEHYDROG-RXN	L-DELTA1-PYRROLINE_5-CARBOXYLATE[0] + NAD[0] + (2) WATER[0] => PROTON[0] + GLT[0] + NADH[0]	-
RXN-12588		RXN-12588	CYS[0] + Unsulfurated-Sulfur-Acceptors[0] => L-ALPHA-ALANINE[0] + Sulfurated-Sulfur-Acceptors[0]	EC-2.8.1.7
TRANS-RXN0-487	Mn2+ export	TRANS-RXN0-487	MN+2[0] => MN+2[1]	-
TRANS-RXN-201		TRANS-RXN-201	CPD-4441[1] + PROTON[1] => CPD-4441[0] + PROTON[0]	-
GUANIDINOPROPIONASE-RXN		GUANIDINOPROPIONASE-RXN	WATER[0] + CPD-594[0] <=> UREA[0] + B-ALANINE[0]	EC-3.5.3.17
RXN-15151		RXN-15151	Hpr-pi-phospho-L-histidines[0] + Fructofuranose[1] => D-fructofuranose-1-phosphate[0] + Hpr-Histidine[0]	EC-2.7.1.202
RXN-13350	metaretinochrome:all-trans-retinal-[retinal-binding protein] retinal transferase	RXN-13350	Metaretinochromes[0] + All-trans-retinal-RALBPs[0] <=> 11C-Retinal-RALBPs[0] + Retinochromes[0]	-
RXN-13023		RXN-13023	CPD-14050[0] + PROTON[0] <=> CPDQT-343[0] + WATER[0] + CARBON-DIOXIDE[0]	-
RXN-10063		RXN-10063	GTP[0] + WATER[0] <=> CPD-10812[0] + FORMATE[0] + PPI[0] + PROTON[0]	EC-3.5.4.39
RXN-12224		RXN-12224	(4) PROTON[0] + CPD-9906[0] + (4) FAD[0] <=> CPD-13149[0] + (4) FADH2[0]	EC-1.3.8.2
RXN-17772		RXN-17772	CPD-19136[0] <=> CPD-19133[0]	EC-5.3.1.33
RXN-12814		RXN-12814	CPD-10116[0] + WATER[0] => CPD-13850[0] + PPI[0]	EC-3.1.7.9
325-BISPHOSPHATE-NUCLEOTIDASE-RXN		325-BISPHOSPHATE-NUCLEOTIDASE-RXN	3-5-ADP[0] + WATER[0] => Pi[0] + AMP[0]	EC-3.1.3.7
RXN-12734		RXN-12734	CPD-13712[0] + WATER[0] <=> CPD-13722[0]	EC-4.2.1.132
RXN-11409		RXN-11409	GTP[0] + (2) CPD-12377[0] <=> CPD-12366[0] + WATER[0]	-
AMP-DEAMINASE-RXN		AMP-DEAMINASE-RXN	PROTON[0] + AMP[0] + WATER[0] => IMP[0] + AMMONIUM[0]	EC-3.5.4.17|EC-3.5.4.6
RXN-9542	trans hexadecenoyl-[acp] reductase (NADPH, B-specific)	RXN-9542	Palmitoyl-ACPs[0] + NADP[0] <=> 2-Hexadecenoyl-ACPs[0] + NADPH[0] + PROTON[0]	EC-1.3.1.10|EC-2.3.1.86|EC-1.3.1.39|EC-2.3.1.85
RXN0-2501	chloride:proton antiport	RXN0-2501	(2) CL-[1] + PROTON[0] => (2) CL-[0] + PROTON[1]	-
--LIMONENE-7-MONOOXYGENASE-RXN		--LIMONENE-7-MONOOXYGENASE-RXN	CPD-4886[0] + OXYGEN-MOLECULE[0] + Red-NADPH-Hemoprotein-Reductases[0] => CPD-261[0] + Ox-NADPH-Hemoprotein-Reductases[0] + WATER[0]	EC-1.14.14.52
RXN-8606		RXN-8606	FARNESYL-PP[0] => CPD-8812[0] + PPI[0]	EC-4.2.3
TRANS-RXN-371	export of 2,4-dinitrophenyl-S-glutathione	TRANS-RXN-371	S-24-DINITROPHENYLGLUTATHIONE[0] + ATP[0] + WATER[0] => S-24-DINITROPHENYLGLUTATHIONE[1] + ADP[0] + Pi[0] + PROTON[0]	-
RXN-8765		RXN-8765	CPD-9044[0] + NAD[0] <=> CPD-9043[0] + NADH[0]	EC-1.3.1.106
RXN-16105		RXN-16105	CPD-17356[0] + CPD-4211[0] <=> CPD-17357[0] + PPI[0]	EC-2.5.1
RXN-8271		RXN-8271	CPD-12575[0] + CPD1F-437[0] => CPD-8033[0] + UDP[0]	EC-2.4.1
5-HYDROXYPENTANOATE-COA-TRANSFERASE-RXN		5-HYDROXYPENTANOATE-COA-TRANSFERASE-RXN	ACETYL-COA[0] + 5-HYDROXYPENTANOATE[0] <=> ACET[0] + 5-HYDROXYPENTANOYL-COA[0]	EC-2.8.3.14
RXN-9897		RXN-9897	CPD-10650[0] + OXYGEN-MOLECULE[0] => (2) PROTON[0] + CPD-10643[0]	-
RXN-9414	monocyclic monoterpene ketone monooxygenase|MMKMO|dihydrocarvone 1,2-monooxygenase|1-hydroxy-2-oxolimonene 1,2-monooxygenase|(-)-menthone,NADPH:oxygen oxidoreductase	RXN-9414	1-Hydroxy-2-oxolimonenes[0] + NADPH[0] + PROTON[0] + OXYGEN-MOLECULE[0] <=> 3-Isopropenyl-4H-hexano-lactones[0] + NADP[0] + WATER[0]	-
RXN-13686		RXN-13686	3-Beta-Hydroxysterols[0] + NADP[0] <=> 3-Oxosteroids[0] + NADPH[0] + PROTON[0]	EC-1.1.1.270
RXN-13988		RXN-13988	CPD-14979[0] + P-COUMAROYL-COA[0] <=> CPD-14986[0] + CO-A[0]	EC-2.3.1
ACNEULY-RXN		ACNEULY-RXN	N-ACETYLNEURAMINATE[0] <=> N-acetyl-D-mannosamine[0] + PYRUVATE[0]	EC-4.1.3.3
RETINAL-OXIDASE-RXN	retinene oxidase|retinal:oxygen oxidoreductase|retinal oxidase	RETINAL-OXIDASE-RXN	CRPB-all-trans-Retinol[0] + WATER[0] + NAD[0] <=> RETINOATE[0] + NADH[0] + PROTON[0]	EC-1.17.1
OXALATE--COA-LIGASE-RXN		OXALATE--COA-LIGASE-RXN	CO-A[0] + OXALATE[0] + ATP[0] => OXALYL-COA[0] + PPI[0] + AMP[0]	EC-6.2.1.8
RXN-17648		RXN-17648	CPD-19068[0] + (2) Reduced-ferredoxins[0] + OXYGEN-MOLECULE[0] + PROTON[0] <=> CPD-19067[0] + (2) Oxidized-ferredoxins[0] + WATER[0]	-
3.1.1.74-RXN		3.1.1.74-RXN	WATER[0] + Cutins[0] => Cutin-Monomers[0]	EC-3.1.1.74
RXN-9890		RXN-9890	CPD-10636[0] + WATER[0] <=> CPD-10637[0] + PROTON[0]	EC-3.1.1.45
RXN-12492		RXN-12492	CPD-238[0] + WATER[0] <=> PHENYLACETATE[0] + AMMONIUM[0]	-
RXN-7590		RXN-7590	CPD-6202[0] + 2-KETOGLUTARATE[0] + OXYGEN-MOLECULE[0] <=> CPD-6201[0] + SUC[0] + CARBON-DIOXIDE[0] + WATER[0]	EC-1.14.20
RXN-8347	alpha-linolenate delta6-desaturase	RXN-8347	Alpha-linolenoyl-groups[0] + OXYGEN-MOLECULE[0] + (2) FERROCYTOCHROME-B5[0] + (2) PROTON[0] <=> CPD-17278[0] + (2) FERRICYTOCHROME-B5[0] + (2) WATER[0]	EC-1.14.19.47
RXN-13893		RXN-13893	CPD-14902[0] + PROTON[0] + NADPH[0] <=> CPD-14901[0] + NADP[0]	EC-1.3.1
RXN-15501		RXN-15501	CPD-16743[0] + OXYGEN-MOLECULE[0] + Red-NADPH-Hemoprotein-Reductases[0] <=> CPD-16744[0] + Ox-NADPH-Hemoprotein-Reductases[0] + WATER[0]	EC-1.14.14
RXN-18310		RXN-18310	CMP-N-ACETYL-NEURAMINATE[0] + sLc4Cer[0] => 36-isoLD1[0] + CMP[0] + PROTON[0]	EC-2.4.99.1
1.13.11.6-RXN		1.13.11.6-RXN	3-HYDROXY-ANTHRANILATE[0] + OXYGEN-MOLECULE[0] <=> PROTON[0] + 2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI[0]	EC-1.13.11.6
RXN-7821		RXN-7821	S-ADENOSYLMETHIONINE[0] + CPD-7120[0] <=> ADENOSYL-HOMO-CYS[0] + CPD-7119[0] + PROTON[0]	EC-2.1.1.338
RXN-8323		RXN-8323	CPD-2182[0] + OXYGEN-MOLECULE[0] + (2) FERROCYTOCHROME-B5[0] + (2) PROTON[0] <=> CPD-8090[0] + (2) WATER[0] + (2) FERRICYTOCHROME-B5[0]	EC-1.14.19.25
RXN-19559		RXN-19559	CPD-21126[0] <=> 2-AMINOACRYLATE[0] + CPD-21128[0]	-
3.4.21.39-RXN		3.4.21.39-RXN	WATER[0] + General-Protein-Substrates[0] => (2) Peptides-holder[0]	EC-3.4.21.39
TAURINE-AMINOTRANSFERASE-RXN		TAURINE-AMINOTRANSFERASE-RXN	PYRUVATE[0] + TAURINE[0] <=> L-ALPHA-ALANINE[0] + SULFOACETALDEHYDE[0]	EC-2.6.1.77
RXN1G-172	cis,cis-delta9,21-3-oxo-C40:2-[acyl-carrier protein] synthase	RXN1G-172	cis-cis-D7-19-C38-2-ACPs[0] + MALONYL-ACP[0] + PROTON[0] => cis-cis-D9-21-3-oxo-C40-2-ACPs[0] + ACP[0] + CARBON-DIOXIDE[0]	EC-2.3.1.cv
RXN1G-1528	3-oxo-C86-trans-methoxy-mycolate reductase	RXN1G-1528	C86-trans-methoxy-mycolate-pks13[0] + Acceptor[0] <=> 3-oxo-C86-trans-methoxy-mycolate-pks13[0] + Donor-H2[0]	EC-1.1
RXN-18710		RXN-18710	tRNA-2-thiouridine34[0] + GTP[0] + METHYLENE-THF-GLU-N[0] + GLY[0] + WATER[0] + Acceptor[0] => tRNA-containing-5-CarbMeAminome-2-ThioU[0] + GDP[0] + Pi[0] + DIHYDROFOLATE-GLU-N[0] + (2) PROTON[0] + Donor-H2[0]	-
RXN-9648		RXN-9648	Butanoyl-ACPs[0] + MALONYL-COA[0] + PROTON[0] <=> 3-oxo-hexanoyl-ACPs[0] + CARBON-DIOXIDE[0] + CO-A[0]	EC-2.3.1.86|EC-2.3.1.85|EC-2.3.1.41
RXN-12534		RXN-12534	S-Substituted-L-Cysteines[0] + MALONYL-COA[0] <=> N-Malonyl-L-Cysteine-S-Conjugate[0] + CO-A[0] + PROTON[0]	EC-2.3.1
4-NITROPHENYLPHOSPHATASE-RXN		4-NITROPHENYLPHOSPHATASE-RXN	CPD-194[0] + WATER[0] => P-NITROPHENOL[0] + Pi[0] + PROTON[0]	EC-3.1.3.41
RXN-13393		RXN-13393	CPD-14365[0] + OXYGEN-MOLECULE[0] => CPD-14366[0] + WATER[0]	-
RXN-3201		RXN-3201	2-OXINDOLE-3-ACETYL-ASP[0] <=> 3-HYDROXY-2-OXINDOLE-3-ACETYL-ASP[0]	-
RXN-15822		RXN-15822	CPD-19313[0] + ETR-Quinones[0] => CPD-17079[0] + ETR-Quinols[0] + PROTON[0]	-
RXN-19336		RXN-19336	(2) ATP[0] + (2) CPD-1829[0] + Reduced-Flavoproteins[0] + (2) WATER[0] => (2) ADENOSYLCOBALAMIN[0] + (2) PPI[0] + (2) Pi[0] + Oxidized-Flavoproteins[0] + (2) PROTON[0]	EC-2.5.1.M19
RXN-7877		RXN-7877	CPD-4127[0] + OXYGEN-MOLECULE[0] + Red-NADPH-Hemoprotein-Reductases[0] => CPD-7191[0] + WATER[0] + Ox-NADPH-Hemoprotein-Reductases[0]	EC-1.14.14
RXN-11284		RXN-11284	CPD-461[0] <=> CPD-4892[0] + PPI[0]	-
RXN-14239		RXN-14239	CPD-12727[0] + CPD-12575[0] <=> CPD-15175[0] + UDP[0] + PROTON[0]	EC-2.4.1
RXN-15425		RXN-15425	GERANYL-PP[0] + CPD-16658[0] <=> PPI[0] + CPD-16662[0]	EC-2.5.1.125
--BORNEOL-DEHYDROGENASE-RXN		--BORNEOL-DEHYDROGENASE-RXN	CPD-1908[0] + NAD[0] <=> --CAMPHOR[0] + NADH[0] + PROTON[0]	EC-1.1.1.227
1.14.13.79-RXN	ent-kaurenoate monooxygenase|ent-kaur-16-en-19-oate,NADPH:oxygen oxidoreductase (hydroxylating)	1.14.13.79-RXN	CPD1F-132[0] + OXYGEN-MOLECULE[0] + Red-NADPH-Hemoprotein-Reductases[0] <=> CPD1F-136[0] + WATER[0] + Ox-NADPH-Hemoprotein-Reductases[0]	-
RXN-17332		RXN-17332	CPD-18730[0] + WATER[0] <=> GLYOX[0] + CPD-12484[0] + CPD-18732[0]	-
RXN-13344		RXN-13344	CPD-14320[0] + OXYGEN-MOLECULE[0] + NADH-P-OR-NOP[0] + PROTON[0] <=> CPD-14323[0] + NAD-P-OR-NOP[0] + WATER[0]	EC-1.14.13.224
RXN-11432		RXN-11432	CPD-12396[0] + WATER[0] => CPD-12397[0] + GLT[0]	EC-3.4.19.16
RXN-19445		RXN-19445	2-3-DIHYDROXYBENZOATE[0] + Holo-EntB[0] + ATP[0] <=> 23DHB-EntB[0] + AMP[0] + PPI[0]	EC-6.2.1.ac
RXN-14817		RXN-14817	GALACTITOL-1-PHOSPHATE[0] + WATER[0] => GALACTITOL[0] + Pi[0]	EC-3.1.3.50
RXN-8631		RXN-8631	FRU1P[0] <=> DIHYDROXY-ACETONE-PHOSPHATE[0] + GLYCERALD[0]	EC-4.1.2.13
RXN-14837		RXN-14837	CPD-12575[0] + CPD-15745[0] => UDP[0] + CPD-15744[0] + PROTON[0]	EC-2.4.1.310
RXN-13775		RXN-13775	CPD-14807[0] <=> 2-DEHYDRO-3-DEOXY-D-GALACTONATE[0] + WATER[0]	EC-4.2.1
R521-RXN		R521-RXN	HSCN[0] + WATER[0] <=> CPD-69[0] + HS[0]	EC-3.13.1
RXN-8883		RXN-8883	CPD-9215[0] + UDP-L-RHAMNOSE[0] <=> PROTON[0] + CPD-9214[0] + UDP[0]	EC-2.4.1
RXN-8880		RXN-8880	CPD-12575[0] + CPD-9213[0] <=> (2) PROTON[0] + CPD-9212[0] + UDP[0]	-
BENZOATE-12-DIOXYGENASE-RXN		BENZOATE-12-DIOXYGENASE-RXN	BENZOATE[0] + NADH[0] + PROTON[0] + OXYGEN-MOLECULE[0] <=> CPD-290[0] + NAD[0]	EC-1.14.12.10
3.1.26.3-RXN		3.1.26.3-RXN	RNASE-III-MRNA-PROCESSING-SUBSTRATE[0] + (2) WATER[0] => RNASE-III-PROCESSING-PRODUCT-MRNA[0] + (2) mRNA-Fragments[0]	EC-3.1.26.3
TRYPTOPHAN-5-MONOOXYGENASE-RXN		TRYPTOPHAN-5-MONOOXYGENASE-RXN	CPD-14053[0] + TRP[0] + OXYGEN-MOLECULE[0] <=> 5-HYDROXY-TRYPTOPHAN[0] + CPD-5881[0]	EC-1.14.16.4
RXN0-5292		RXN0-5292	DCMP[0] + WATER[0] => DEOXYCYTIDINE[0] + Pi[0]	EC-3.1.3.89
RXN-12027		RXN-12027	CPD-13006[0] <=> BENZYL-ISOTHIOCYANATE[0] + SULFATE[0]	-
RXN1F-461		RXN1F-461	CPD-12575[0] + CPD1F-90[0] => CPD1F-453[0] + UDP[0] + PROTON[0]	EC-2.4.1.91
3.1.2.14-RXN		3.1.2.14-RXN	Oleoyl-ACPs[0] + WATER[0] <=> ACP[0] + OLEATE-CPD[0] + PROTON[0]	EC-3.1.2.14
RXN-19064		RXN-19064	(2) CPD-20548[0] + OXYGEN-MOLECULE[0] + (2) Reduced-ferredoxins[0] + (2) PROTON[0] => CPD-20559[0] + (2) WATER[0] + (2) Oxidized-ferredoxins[0]	EC-1.14.19.M18
RXN-13041		RXN-13041	--CAMPHOR[0] + (2) Reduced-Putidaredoxins[0] + OXYGEN-MOLECULE[0] + (2) PROTON[0] => CPD-14062[0] + (2) Oxidized-Putidaredoxins[0] + WATER[0]	EC-1.14.15.1
2-AMINOADIPATE-AMINOTRANSFERASE-RXN		2-AMINOADIPATE-AMINOTRANSFERASE-RXN	CPD-468[0] + 2-KETOGLUTARATE[0] <= GLT[0] + 2K-ADIPATE[0]	EC-2.6.1.39
DUDPKIN-RXN		DUDPKIN-RXN	DUDP[0] + ATP[0] => DUTP[0] + ADP[0]	EC-2.7.4.6
