Original Reaction	Matched Reaction	Original Description	Matched Description	Swapped Compounds	
rxn16586	rxn05936	(1) NADP[0] + (1) Butyryl-CoA[0] <= (1) NADPH[0] + (1) H+[0] + (1) Crotonyl-CoA[0]	(1) Butyryl-CoA[0] + (1) A[0] <= (1) Crotonyl-CoA[0] + (1) AH2[0]	cpd00006:cpd11609;cpd00005:cpd11610	
rxn16586	rxn28137	(1) NADP[0] + (1) Butyryl-CoA[0] <= (1) NADPH[0] + (1) H+[0] + (1) Crotonyl-CoA[0]	(1) Butyryl-CoA[0] + (1) Acceptor[0] <=> (1) Crotonyl-CoA[0] + (1) Donor-H2[0]	cpd00006:cpd22290;cpd00005:cpd26978	
rxn16659	rxn23162	(1) NADPH[0] + (1) O2[0] + (2) H+[0] + (1) 1-Hydroxy-2-naphthoate[0] => (1) H2O[0] + (1) NADP[0] + (1) CO2[0] + (1) 1,2-Naphthalenediol[0]	(1) O2[0] + (2) H+[0] + (1) 1-Hydroxy-2-naphthoate[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) CO2[0] + (1) 1,2-Naphthalenediol[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn16832	rxn23273	(1) NAD[0] + (1) (+)-Thujan-3-ol[0] <=> (1) NADH[0] + (1) H+[0] + (1) (+)-Thujan-3-one[0]	(1) (+)-Thujan-3-ol[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) (+)-Thujan-3-one[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn16833	rxn23273	(1) NADP[0] + (1) (+)-Thujan-3-ol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) (+)-Thujan-3-one[0]	(1) (+)-Thujan-3-ol[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) (+)-Thujan-3-one[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn16855	rxn44898	(1) NADP[0] + (1) dTDP-6-deoxy-L-talose[0] <=> (1) NADPH[0] + (1) H+[0] + (1) dTDP-4-oxo-beta-L-rhamnose[0]	(1) dTDP-6-deoxy-L-talose[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) dTDP-4-oxo-beta-L-rhamnose[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn16998	rxn21281	(1) L-Ascorbate[0] + (1) FERRICYTOCHROME-B5[0] <=> (2) H+[0] + (1) Ascorbate radical[0] + (1) FERROCYTOCHROME-B5[0]	(1) L-Ascorbate[0] + (1) H+[0] + (1) Acceptor[0] <=> (1) Ascorbate radical[0] + (1) Donor-H2[0]	cpd27029:cpd22290;cpd27031:cpd26978	
rxn17390	rxn06334	(1) H+[0] + (1) 2-Methylbutyryl-CoA[0] + (1) ETF-Oxidized[0] <= (1) Tiglyl-CoA[0] + (1) ETF-Reduced[0]	(1) 2-Methylbutyryl-CoA[0] + (1) A[0] <= (1) Tiglyl-CoA[0] + (1) AH2[0]	cpd27005:cpd11609;cpd27006:cpd11610	
rxn17390	rxn46716	(1) H+[0] + (1) 2-Methylbutyryl-CoA[0] + (1) ETF-Oxidized[0] <= (1) Tiglyl-CoA[0] + (1) ETF-Reduced[0]	(1) 2-Methylbutyryl-CoA[0] + (1) Acceptor[0] <=> (1) Tiglyl-CoA[0] + (1) Donor-H2[0]	cpd27005:cpd22290;cpd27006:cpd26978	
rxn19086	rxn19131	(1) NAD[0] + (1) Primary-Alcohols[0] <=> (1) NADH[0] + (1) H+[0] + (1) Aldehydes[0]	(1) Acceptor[0] + (1) Primary-Alcohols[0] <=> (1) Aldehydes[0] + (1) Donor-H2[0]	cpd00003:cpd22290;cpd00004:cpd26978	
rxn19096	rxn19088	(1) NADP[0] + (1) Alcohols[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Aldehydes[0]	(1) Alcohols[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) Aldehydes[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn19110	rxn17214	(1) H2O[0] + (1) Aldehydes[0] + (1) NAD-P-OR-NOP[0] => (2) H+[0] + (1) Carboxylates[0] + (1) NADH-P-OR-NOP[0]	(1) H2O[0] + (1) Acceptor[0] + (1) Aldehydes[0] <=> (1) H+[0] + (1) Carboxylates[0] + (1) Donor-H2[0]	cpd27638:cpd22290;cpd27640:cpd26978	
rxn19116	rxn19110	(1) H2O[0] + (1) NADP[0] + (1) Aldehydes[0] <=> (1) NADPH[0] + (2) H+[0] + (1) Carboxylates[0]	(1) H2O[0] + (1) Aldehydes[0] + (1) NAD-P-OR-NOP[0] => (2) H+[0] + (1) Carboxylates[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn19116	rxn17214	(1) H2O[0] + (1) NADP[0] + (1) Aldehydes[0] <=> (1) NADPH[0] + (2) H+[0] + (1) Carboxylates[0]	(1) H2O[0] + (1) Acceptor[0] + (1) Aldehydes[0] <=> (1) H+[0] + (1) Carboxylates[0] + (1) Donor-H2[0]	cpd00006:cpd22290;cpd00005:cpd26978	
rxn19121	rxn19110	(1) H2O[0] + (1) NAD[0] + (1) Aldehydes[0] <=> (1) NADH[0] + (2) H+[0] + (1) Carboxylates[0]	(1) H2O[0] + (1) Aldehydes[0] + (1) NAD-P-OR-NOP[0] => (2) H+[0] + (1) Carboxylates[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn19121	rxn17214	(1) H2O[0] + (1) NAD[0] + (1) Aldehydes[0] <=> (1) NADH[0] + (2) H+[0] + (1) Carboxylates[0]	(1) H2O[0] + (1) Acceptor[0] + (1) Aldehydes[0] <=> (1) H+[0] + (1) Carboxylates[0] + (1) Donor-H2[0]	cpd00003:cpd22290;cpd00004:cpd26978	
rxn19247	rxn05936	(1) H+[0] + (1) Butyryl-CoA[0] + (1) ETF-Oxidized[0] <= (1) Crotonyl-CoA[0] + (1) ETF-Reduced[0]	(1) Butyryl-CoA[0] + (1) A[0] <= (1) Crotonyl-CoA[0] + (1) AH2[0]	cpd27005:cpd11609;cpd27006:cpd11610	
rxn19247	rxn28137	(1) H+[0] + (1) Butyryl-CoA[0] + (1) ETF-Oxidized[0] <= (1) Crotonyl-CoA[0] + (1) ETF-Reduced[0]	(1) Butyryl-CoA[0] + (1) Acceptor[0] <=> (1) Crotonyl-CoA[0] + (1) Donor-H2[0]	cpd27005:cpd22290;cpd27006:cpd26978	
rxn19252	rxn44484	(1) NADP[0] + (1) Secondary-Alcohols[0] <=> (1) NADPH[0] + (1) H+[0] + (1) LONG-CHAIN-KETONE[0]	(1) Acceptor[0] + (1) Secondary-Alcohols[0] <=> (1) Donor-H2[0] + (1) LONG-CHAIN-KETONE[0]	cpd00006:cpd22290;cpd00005:cpd26978	
rxn19367	rxn16854	(1) NAD[0] + (1) D-ARABINOSE[0] <=> (1) NADH[0] + (1) H+[0] + (1) D-Arabinono-1,4-lactone[0]	(1) D-ARABINOSE[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) D-Arabinono-1,4-lactone[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn19489	rxn06059	(1) S-Dihydroorotate[0] + (1) ETR-Quinones[0] <=> (1) Orotate[0] + (1) ETR-Quinols[0]	(1) S-Dihydroorotate[0] + (1) A[0] <=> (1) Orotate[0] + (1) AH2[0]	cpd27012:cpd11609;cpd27011:cpd11610	
rxn19567	rxn06017	(1) H2O[0] + (1) H+[0] + (1) Dimethylglycine[0] + (1) ETF-Oxidized[0] <= (1) Formaldehyde[0] + (1) Sarcosine[0] + (1) ETF-Reduced[0]	(1) H2O[0] + (1) Dimethylglycine[0] + (1) A[0] <= (1) Formaldehyde[0] + (1) Sarcosine[0] + (1) AH2[0]	cpd27005:cpd11609;cpd27006:cpd11610	
rxn19575	rxn05804	(1) D-Lactate[0] + (1) ETR-Quinones[0] <=> (1) Pyruvate[0] + (1) ETR-Quinols[0]	(1) D-Lactate[0] + (1) A[0] <= (1) Pyruvate[0] + (1) AH2[0]	cpd27012:cpd11609;cpd27011:cpd11610	
rxn19575	rxn19363	(1) D-Lactate[0] + (1) ETR-Quinones[0] <=> (1) Pyruvate[0] + (1) ETR-Quinols[0]	(1) D-Lactate[0] + (1) Acceptor[0] <=> (1) Pyruvate[0] + (1) Donor-H2[0]	cpd27012:cpd22290;cpd27011:cpd26978	
rxn19680	rxn05796	(1) NADH[0] + (2) H+[0] + (1) ETF-Oxidized[0] <=> (1) NAD[0] + (1) ETF-Reduced[0]	(1) NADH[0] + (1) H+[0] + (1) A[0] <=> (1) NAD[0] + (1) AH2[0]	cpd27005:cpd11609;cpd27006:cpd11610	
rxn19680	rxn17260	(1) NADH[0] + (2) H+[0] + (1) ETF-Oxidized[0] <=> (1) NAD[0] + (1) ETF-Reduced[0]	(1) NADH[0] + (1) H+[0] + (1) Acceptor[0] <=> (1) NAD[0] + (1) Donor-H2[0]	cpd27005:cpd22290;cpd27006:cpd26978	
rxn19700	rxn44938	(1) NAD[0] + (1) H+[0] + (2) Reduced-2Fe-2S-Ferredoxins[0] <= (1) NADH[0] + (2) Oxidized-2Fe-2S-Ferredoxins[0]	(1) H+[0] + (1) NAD-P-OR-NOP[0] + (2) Reduced-2Fe-2S-Ferredoxins[0] <=> (1) NADH-P-OR-NOP[0] + (2) Oxidized-2Fe-2S-Ferredoxins[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn19732	rxn19733	(1) NADP[0] + (1) FRU[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 5-Dehydro-D-fructose[0]	(1) Acceptor[0] + (1) FRU[0] <=> (1) 5-Dehydro-D-fructose[0] + (1) Donor-H2[0]	cpd00006:cpd22290;cpd00005:cpd26978	
rxn19778	rxn15031	(1) beta-D-Glucose[0] + (1) Ubiquinones[0] => (1) Gluconolactone[0] + (1) Ubiquinols[0]	(1) beta-D-Glucose[0] + (1) A[0] <=> (1) Gluconolactone[0] + (1) AH2[0]	cpd28301:cpd11609;cpd28300:cpd11610	
rxn19778	rxn19815	(1) beta-D-Glucose[0] + (1) Ubiquinones[0] => (1) Gluconolactone[0] + (1) Ubiquinols[0]	(1) beta-D-Glucose[0] + (1) Acceptor[0] <=> (1) Gluconolactone[0] + (1) Donor-H2[0]	cpd28301:cpd22290;cpd28300:cpd26978	
rxn19810	rxn15031	(1) beta-D-Glucose[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) Gluconolactone[0] + (1) NADH-P-OR-NOP[0]	(1) beta-D-Glucose[0] + (1) A[0] <=> (1) Gluconolactone[0] + (1) AH2[0]	cpd27638:cpd11609;cpd27640:cpd11610	
rxn19810	rxn19815	(1) beta-D-Glucose[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) Gluconolactone[0] + (1) NADH-P-OR-NOP[0]	(1) beta-D-Glucose[0] + (1) Acceptor[0] <=> (1) Gluconolactone[0] + (1) Donor-H2[0]	cpd27638:cpd22290;cpd27640:cpd26978	
rxn19839	rxn06938	(1) H+[0] + (1) Glutaryl-CoA[0] + (1) ETF-Oxidized[0] <= (1) Glutaconyl-1-CoA[0] + (1) ETF-Reduced[0]	(1) Glutaryl-CoA[0] + (1) A[0] <= (1) Glutaconyl-1-CoA[0] + (1) AH2[0]	cpd27005:cpd11609;cpd27006:cpd11610	
rxn19839	rxn23274	(1) H+[0] + (1) Glutaryl-CoA[0] + (1) ETF-Oxidized[0] <= (1) Glutaconyl-1-CoA[0] + (1) ETF-Reduced[0]	(1) Glutaryl-CoA[0] + (1) Acceptor[0] <=> (1) Glutaconyl-1-CoA[0] + (1) Donor-H2[0]	cpd27005:cpd22290;cpd27006:cpd26978	
rxn19840	rxn06172	(2) H+[0] + (1) Glutaryl-CoA[0] + (1) ETF-Oxidized[0] <=> (1) CO2[0] + (1) Crotonyl-CoA[0] + (1) ETF-Reduced[0]	(1) Glutaryl-CoA[0] + (1) A[0] <=> (1) CO2[0] + (1) Crotonyl-CoA[0] + (1) AH2[0]	cpd27005:cpd11609;cpd27006:cpd11610	
rxn19840	rxn27890	(2) H+[0] + (1) Glutaryl-CoA[0] + (1) ETF-Oxidized[0] <=> (1) CO2[0] + (1) Crotonyl-CoA[0] + (1) ETF-Reduced[0]	(1) Glutaryl-CoA[0] + (1) Acceptor[0] <=> (1) CO2[0] + (1) Crotonyl-CoA[0] + (1) Donor-H2[0]	cpd27005:cpd22290;cpd27006:cpd26978	
rxn19848	rxn05900	(1) Glycerol-3-phosphate[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) Glycerone-phosphate[0] + (1) NADH-P-OR-NOP[0]	(1) Glycerol-3-phosphate[0] + (1) A[0] <=> (1) Glycerone-phosphate[0] + (1) AH2[0]	cpd27638:cpd11609;cpd27640:cpd11610	
rxn19848	rxn27905	(1) Glycerol-3-phosphate[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) Glycerone-phosphate[0] + (1) NADH-P-OR-NOP[0]	(1) Glycerol-3-phosphate[0] + (1) Acceptor[0] <=> (1) Glycerone-phosphate[0] + (1) Donor-H2[0]	cpd27638:cpd22290;cpd27640:cpd26978	
rxn20002	rxn25137	(1) NAD[0] + (1) L-ARABINOSE[0] <=> (1) NADH[0] + (1) H+[0] + (1) L-Arabinono-1,4-lactone[0]	(1) L-ARABINOSE[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) L-Arabinono-1,4-lactone[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn20181	rxn21895	(1) NAD[0] + (1) D-mannitol, 1-(dihydrogenphosphate)[0] <=> (1) NADH[0] + (1) H+[0] + (1) beta-D-Fructose 6-phosphate[0]	(1) D-mannitol, 1-(dihydrogenphosphate)[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) beta-D-Fructose 6-phosphate[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn20240	rxn43132	(1) NADH[0] + (1) H+[0] + (1) Ubiquinones[0] => (1) NAD[0] + (1) Ubiquinols[0]	(1) NADH[0] + (1) H+[0] + (1) ETR-Quinones[0] <=> (1) NAD[0] + (1) ETR-Quinols[0]	cpd28301:cpd27012;cpd28300:cpd27011	
rxn20240	rxn05796	(1) NADH[0] + (1) H+[0] + (1) Ubiquinones[0] => (1) NAD[0] + (1) Ubiquinols[0]	(1) NADH[0] + (1) H+[0] + (1) A[0] <=> (1) NAD[0] + (1) AH2[0]	cpd28301:cpd11609;cpd28300:cpd11610	
rxn20240	rxn17260	(1) NADH[0] + (1) H+[0] + (1) Ubiquinones[0] => (1) NAD[0] + (1) Ubiquinols[0]	(1) NADH[0] + (1) H+[0] + (1) Acceptor[0] <=> (1) NAD[0] + (1) Donor-H2[0]	cpd28301:cpd22290;cpd28300:cpd26978	
rxn20240	rxn47364	(1) NADH[0] + (1) H+[0] + (1) Ubiquinones[0] => (1) NAD[0] + (1) Ubiquinols[0]	(1) H+[0] + (1) ETR-Quinones[0] + (1) NADH-P-OR-NOP[0] <=> (1) ETR-Quinols[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd28301:cpd27012;cpd00003:cpd27638;cpd28300:cpd27011	
rxn20279	rxn14358	(1) H2O[0] + (1) Nitrite[0] + (1) NAD-P-OR-NOP[0] <= (2) H+[0] + (1) Nitrate[0] + (1) NADH-P-OR-NOP[0]	(1) H2O[0] + (1) Nitrite[0] + (1) A[0] <= (1) Nitrate[0] + (1) AH2[0]	cpd27638:cpd11609;cpd27640:cpd11610	
rxn20279	rxn20280	(1) H2O[0] + (1) Nitrite[0] + (1) NAD-P-OR-NOP[0] <= (2) H+[0] + (1) Nitrate[0] + (1) NADH-P-OR-NOP[0]	(1) H2O[0] + (1) Nitrite[0] + (1) Acceptor[0] <=> (1) Nitrate[0] + (1) Donor-H2[0]	cpd27638:cpd22290;cpd27640:cpd26978	
rxn20650	rxn05947	(1) L-Proline[0] + (1) NAD-P-OR-NOP[0] => (2) H+[0] + (1) 1-Pyrroline-5-carboxylate[0] + (1) NADH-P-OR-NOP[0]	(1) L-Proline[0] + (1) A[0] <=> (1) 1-Pyrroline-5-carboxylate[0] + (1) AH2[0]	cpd27638:cpd11609;cpd27640:cpd11610	
rxn20650	rxn24693	(1) L-Proline[0] + (1) NAD-P-OR-NOP[0] => (2) H+[0] + (1) 1-Pyrroline-5-carboxylate[0] + (1) NADH-P-OR-NOP[0]	(1) L-Proline[0] + (1) Acceptor[0] <=> (1) H+[0] + (1) 1-Pyrroline-5-carboxylate[0] + (1) Donor-H2[0]	cpd27638:cpd22290;cpd27640:cpd26978	
rxn20678	rxn45226	(1) NADPH[0] + (1) H+[0] + (1) Nitroglycerin[0] <=> (1) NADP[0] + (1) Nitrite[0] + (1) 1,2,3-propanetriol 1,3-dinitrate[0]	(1) H+[0] + (1) Nitroglycerin[0] + (1) NADH-P-OR-NOP[0] <=> (1) Nitrite[0] + (1) 1,2,3-propanetriol 1,3-dinitrate[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn20679	rxn41527	(1) NADPH[0] + (1) H+[0] + (1) 1,2,3-propanetriol 1,3-dinitrate[0] <=> (1) NADP[0] + (1) Nitrite[0] + (1) 1-mononitroglycerin[0]	(1) H+[0] + (1) 1,2,3-propanetriol 1,3-dinitrate[0] + (1) NADH-P-OR-NOP[0] <=> (1) Nitrite[0] + (1) 1-mononitroglycerin[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn20680	rxn45631	(1) NADPH[0] + (1) H+[0] + (1) Nitroglycerin[0] <=> (1) NADP[0] + (1) Nitrite[0] + (1) 1,2,3-propanetriol 1,2-dinitrate[0]	(1) H+[0] + (1) Nitroglycerin[0] + (1) NADH-P-OR-NOP[0] <=> (1) Nitrite[0] + (1) 1,2,3-propanetriol 1,2-dinitrate[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn20704	rxn40963	(1) NADPH[0] + (1) Nitroaromatic-Ox-Compounds[0] <=> (1) NADP[0] + (1) Nitroaromatic-Red-Compounds[0]	(1) NADH-P-OR-NOP[0] + (1) Nitroaromatic-Ox-Compounds[0] <=> (1) NAD-P-OR-NOP[0] + (1) Nitroaromatic-Red-Compounds[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn20770	rxn42011	(1) FAD[0] + (2) H+[0] + (2) e-[0] <=> (1) FADH2[0]	(3) H+[0] + (2) e-[0] + (1) ETF-Oxidized[0] <=> (1) ETF-Reduced[0]	cpd00015:cpd27005;cpd00982:cpd27006	
rxn20770	rxn45331	(1) FAD[0] + (2) H+[0] + (2) e-[0] <=> (1) FADH2[0]	(2) H+[0] + (2) e-[0] + (1) Acceptor[0] <=> (1) Donor-H2[0]	cpd00015:cpd22290;cpd00982:cpd26978	
rxn20793	rxn20794	(1) NAD[0] + (1) H+[0] + (2) Reduced-Rubredoxins[0] <= (1) NADH[0] + (2) Oxidized-Rubredoxins[0]	(1) H+[0] + (1) NAD-P-OR-NOP[0] + (2) Reduced-Rubredoxins[0] <=> (1) NADH-P-OR-NOP[0] + (2) Oxidized-Rubredoxins[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn21133	rxn05815	(1) L-Malate[0] + (1) NAD-P-OR-NOP[0] <=> (1) Oxaloacetate[0] + (1) H+[0] + (1) NADH-P-OR-NOP[0]	(1) L-Malate[0] + (1) A[0] <= (1) Oxaloacetate[0] + (1) AH2[0]	cpd27638:cpd11609;cpd27640:cpd11610	
rxn21133	rxn27977	(1) L-Malate[0] + (1) NAD-P-OR-NOP[0] <=> (1) Oxaloacetate[0] + (1) H+[0] + (1) NADH-P-OR-NOP[0]	(1) L-Malate[0] + (1) Acceptor[0] <=> (1) Oxaloacetate[0] + (1) Donor-H2[0]	cpd27638:cpd22290;cpd27640:cpd26978	
rxn21161	rxn21159	(2) H2O[0] + (1) NAD[0] + (1) delta1-Piperideine-6-L-carboxylate[0] <=> (1) NADH[0] + (1) H+[0] + (1) L-2-Aminoadipate[0]	(2) H2O[0] + (1) delta1-Piperideine-6-L-carboxylate[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) L-2-Aminoadipate[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn21330	rxn43639	(1) Ethanol[0] + (1) Ubiquinones[0] <=> (1) Acetaldehyde[0] + (1) Ubiquinols[0]	(1) Ethanol[0] + (1) Acceptor[0] <=> (1) Acetaldehyde[0] + (1) Donor-H2[0]	cpd28301:cpd22290;cpd28300:cpd26978	
rxn21478	rxn21469	(1) D-Proline[0] + (1) Ubiquinones[0] => (1) 1-pyrroline 2-carboxylate[0] + (1) Ubiquinols[0]	(1) D-Proline[0] + (1) Acceptor[0] <=> (1) H+[0] + (1) 1-pyrroline 2-carboxylate[0] + (1) Donor-H2[0]	cpd28301:cpd22290;cpd28300:cpd26978	
rxn21509	rxn14358	(1) H+[0] + (1) Nitrate[0] + (1) ETR-Quinols[0] <=> (1) H2O[0] + (1) Nitrite[0] + (1) ETR-Quinones[0]	(1) H2O[0] + (1) Nitrite[0] + (1) A[0] <= (1) Nitrate[0] + (1) AH2[0]	cpd27011:cpd11610;cpd27012:cpd11609	
rxn21509	rxn20280	(1) H+[0] + (1) Nitrate[0] + (1) ETR-Quinols[0] <=> (1) H2O[0] + (1) Nitrite[0] + (1) ETR-Quinones[0]	(1) H2O[0] + (1) Nitrite[0] + (1) Acceptor[0] <=> (1) Nitrate[0] + (1) Donor-H2[0]	cpd27011:cpd26978;cpd27012:cpd22290	
rxn21537	rxn16325	(1) Formate[0] + (1) H+[0] + (1) ETR-Quinones[0] <=> (1) CO2[0] + (1) ETR-Quinols[0]	(1) Formate[0] + (1) A[0] => (1) CO2[0] + (1) AH2[0]	cpd27012:cpd11609;cpd27011:cpd11610	
rxn21537	rxn26046	(1) Formate[0] + (1) H+[0] + (1) ETR-Quinones[0] <=> (1) CO2[0] + (1) ETR-Quinols[0]	(1) Formate[0] + (1) H+[0] + (1) Acceptor[0] <=> (1) CO2[0] + (1) Donor-H2[0]	cpd27012:cpd22290;cpd27011:cpd26978	
rxn22066	rxn05925	(1) H+[0] + (1) Glycerone[0] + (1) NADH-P-OR-NOP[0] <=> (1) Glycerol[0] + (1) NAD-P-OR-NOP[0]	(1) Glycerol[0] + (1) A[0] <=> (1) Glycerone[0] + (1) AH2[0]	cpd27640:cpd11610;cpd27638:cpd11609	
rxn22066	rxn19851	(1) H+[0] + (1) Glycerone[0] + (1) NADH-P-OR-NOP[0] <=> (1) Glycerol[0] + (1) NAD-P-OR-NOP[0]	(1) Glycerol[0] + (1) Acceptor[0] <=> (1) Glycerone[0] + (1) Donor-H2[0]	cpd27640:cpd26978;cpd27638:cpd22290	
rxn22397	rxn05801	(1) H2O[0] + (1) Nitrous oxide[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (2) NO[0] + (1) NADH-P-OR-NOP[0]	(2) NO[0] + (1) AH2[0] <=> (1) H2O[0] + (1) Nitrous oxide[0] + (1) A[0]	cpd27638:cpd11609;cpd27640:cpd11610	
rxn22407	rxn06053	(1) NADP[0] + (1) Androstanedione[0] <= (1) NADPH[0] + (1) H+[0] + (1) Androstenedione[0]	(1) Androstanedione[0] + (1) A[0] <= (1) Androstenedione[0] + (1) AH2[0]	cpd00006:cpd11609;cpd00005:cpd11610	
rxn22407	rxn48390	(1) NADP[0] + (1) Androstanedione[0] <= (1) NADPH[0] + (1) H+[0] + (1) Androstenedione[0]	(1) Androstanedione[0] + (1) Acceptor[0] <=> (1) Androstenedione[0] + (1) Donor-H2[0]	cpd00006:cpd22290;cpd00005:cpd26978	
rxn22478	rxn42108	(1) NADP[0] + (1) L-Rhamnofuranose[0] <=> (1) NADPH[0] + (1) H+[0] + (1) L-Rhamno-1,4-lactone[0]	(1) L-Rhamnofuranose[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) L-Rhamno-1,4-lactone[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn22912	rxn44484	(1) NAD[0] + (1) Secondary-Alcohols[0] <=> (1) NADH[0] + (1) H+[0] + (1) LONG-CHAIN-KETONE[0]	(1) Acceptor[0] + (1) Secondary-Alcohols[0] <=> (1) Donor-H2[0] + (1) LONG-CHAIN-KETONE[0]	cpd00003:cpd22290;cpd00004:cpd26978	
rxn23010	rxn47075	(1) FAD[0] + (1) 3-S-methylthiopropionyl-CoA[0] <=> (1) FADH2[0] + (1) methylthioacryloyl-CoA[0]	(1) H+[0] + (1) 3-S-methylthiopropionyl-CoA[0] + (1) ETF-Oxidized[0] <=> (1) methylthioacryloyl-CoA[0] + (1) ETF-Reduced[0]	cpd00015:cpd27005;cpd00982:cpd27006	
rxn23384	rxn23388	(1) NAD[0] + (1) furfuryl alcohol[0] <=> (1) NADH[0] + (1) H+[0] + (1) Furfural[0]	(1) furfuryl alcohol[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) Furfural[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn23602	rxn40970	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) protodeoxyviolaceinate[0] => (1) H2O[0] + (1) NADP[0] + (1) protoviolaceinate[0]	(1) O2[0] + (1) H+[0] + (1) protodeoxyviolaceinate[0] + (1) NADH-P-OR-NOP[0] <=> (1) H2O[0] + (1) protoviolaceinate[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn23603	rxn41885	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) protoviolaceinate[0] => (1) H2O[0] + (1) NADP[0] + (1) violaceinate[0]	(1) O2[0] + (1) H+[0] + (1) protoviolaceinate[0] + (1) NADH-P-OR-NOP[0] <=> (1) H2O[0] + (1) violaceinate[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn23605	rxn45413	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) protodeoxyviolaceinate[0] => (1) H2O[0] + (1) NADP[0] + (1) deoxyviolaceinate[0]	(1) O2[0] + (1) H+[0] + (1) protodeoxyviolaceinate[0] + (1) NADH-P-OR-NOP[0] <=> (1) H2O[0] + (1) deoxyviolaceinate[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn23850	rxn40491	(1) H2O[0] + (1) NAD[0] + (1) Glyceraldehyde3-phosphate[0] <=> (1) NADH[0] + (2) H+[0] + (1) 3-Phosphoglycerate[0]	(1) H2O[0] + (1) Glyceraldehyde3-phosphate[0] + (1) NAD-P-OR-NOP[0] <=> (2) H+[0] + (1) 3-Phosphoglycerate[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn23859	rxn42533	(1) NADPH[0] + (3) H+[0] + (2) Ascorbate radical[0] => (1) NADP[0] + (2) L-Ascorbate[0]	(2) L-Ascorbate[0] + (2) H+[0] + (1) Acceptor[0] <=> (2) Ascorbate radical[0] + (1) Donor-H2[0]	cpd00005:cpd26978;cpd00006:cpd22290	
