rn:R00001	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate
rn:R07013	(1R,2S)-naphthalene 1,2-oxide hydrolase; (1R,2S)-Naphthalene 1,2-oxide + H2O <=> 1,2-Dihydronaphthalene-1,2-diol
rn:R07014	(1S,2R)-naphthalene 1,2-oxide hydrolase; (1S,2R)-Naphthalene 1,2-oxide + H2O <=> 1,2-Dihydronaphthalene-1,2-diol
rn:R07015	1,2-Dihydronaphthalene-1,2-diol dehydrogenase; 1,2-Dihydronaphthalene-1,2-diol + NADP+ <=> Naphthalene-1,2-diol + NADPH + H+
rn:R07016	1,2-Dihydronaphthalene-1,2-diol, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); 1,2-Dihydronaphthalene-1,2-diol + NADPH + Oxygen + H+ <=> 1,2-Dihydroxy-3,4-epoxy-1,2,3,4-tetrahydronaphthalene + NADP+ + H2O
rn:R07017	Naphthalene-1,2-diol <=> 1,2-Naphthoquinone
rn:R07018	1-Naphthol <=> 1,4-Dihydroxynaphthalene
rn:R07019	1,4-Dihydroxynaphthalene <=> 1,4-Naphthoquinone
rn:R07020	beta-Naphthol, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); 2-Naphthol + NADPH + Oxygen + H+ <=> Naphthalene-1,2-diol + NADP+ + H2O
rn:R07021	1-nitronaphthalene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); 1-Nitronaphthalene + NADPH + Oxygen + H+ <=> 1-Nitronaphthalene-7,8-oxide + NADP+ + H2O
rn:R07022	1-nitronaphthalene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); 1-Nitronaphthalene + NADPH + Oxygen + H+ <=> 1-Nitronaphthalene-5,6-oxide + NADP+ + H2O
rn:R07023	1-nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene glutathione-lyase (epoxide-forming); 1-Nitronaphthalene-7,8-oxide + Glutathione <=> 1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene
rn:R07024	1-nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene glutathione-lyase (epoxide-forming); 1-Nitronaphthalene-7,8-oxide + Glutathione <=> 1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene
rn:R07025	1-nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene glutathione-lyase (epoxide-forming); 1-Nitronaphthalene-5,6-oxide + Glutathione <=> 1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene
rn:R07026	1-nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene glutathione-lyase (epoxide-forming); 1-Nitronaphthalene-5,6-oxide + Glutathione <=> 1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene
rn:R07027	1-nitronaphthalene-5,6-oxide hydrolase; 1-Nitronaphthalene-5,6-oxide + H2O <=> 1-Nitro-5,6-dihydroxy-dihydronaphthalene
rn:R07028	1-Nitronaphthalene <=> 1-Nitrosonaphthalene
rn:R07029	1-Nitrosonaphthalene <=> N-Hydroxy-1-aminonaphthalene
rn:R07030	N-Hydroxy-1-aminonaphthalene <=> 1-Naphthylamine
rn:R07031	5,6-Epoxytetraene + H2O <=> Lipoxin A4
rn:R07032	5,6-Epoxytetraene + H2O <=> Lipoxin B4
rn:R07034	Glutathione: 5-HPETE oxidoreductase; 2 Glutathione + 5(S)-HPETE <=> Glutathione disulfide + 5(S)-HETE + H2O
rn:R07035	Glutathione: 15-HPETE oxidoreductase; 2 Glutathione + 15(S)-HPETE <=> Glutathione disulfide + (15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate + H2O
rn:R07036	Hepoxilin A3 hydrolase; Hepoxilin A3 + H2O <=> Trioxilin A3
rn:R07037	Hepoxilin B3 hydrolase; Hepoxilin B3 + H2O <=> Trioxilin B3
rn:R07038	Arachidonate: oxygen 12-oxidoreductase; Arachidonate + Oxygen <=> 12(R)-HPETE
rn:R07039	12-HPETE hydroxymutase; 12(S)-HPETE <=> Hepoxilin A3
rn:R07040	12-HPETE hydroxymutase; 12(S)-HPETE <=> Hepoxilin B3
rn:R07041	Arachidonic acid:oxygen 1-oxidoreductase; Arachidonate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 20-HETE + [Oxidized NADPH---hemoprotein reductase] + H2O
rn:R07042	15(S)-HPETE <=> 15H-11,12-EETA
rn:R07043	15(S)-HPETE <=> 11H-14,15-EETA
rn:R07044	15H-11,12-EETA + H2O <=> 11,12,15-THETA
rn:R07045	11H-14,15-EETA + H2O <=> 11,14,15-THETA
rn:R07046	Arachidonate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 19(S)-HETE + [Oxidized NADPH---hemoprotein reductase] + H2O
rn:R07047	Arachidonate: oxygen 11-oxidoreductase; Arachidonate + Oxygen <=> 11(R)-HPETE
rn:R07048	Arachidonate + Oxygen + NADPH + H+ <=> 14,15-EET + NADP+ + H2O
rn:R07049	Arachidonate:oxygen 9-oxidoreductase; Arachidonate + Oxygen <=> 9(S)-HPETE
rn:R07050	Arachidonate + Oxygen + NADPH + H+ <=> 11,12-EET + NADP+ + H2O
rn:R07051	Arachidonate + Oxygen + NADPH + H+ <=> 8,9-EET + NADP+ + H2O
rn:R07052	Arachidonate + Oxygen + NADPH + H+ <=> 5,6-EET + NADP+ + H2O
rn:R07053	Arachidonate:oxygen 8-oxidoreductase; Arachidonate + Oxygen <=> 8(S)-HPETE
rn:R07054	Arachidonate + Oxygen + NADPH + H+ <=> 16(R)-HETE + NADP+ + H2O
rn:R07055	Linoleate + Oxygen + NADPH + H+ <=> 9(10)-EpOME + NADP+ + H2O
rn:R07056	Linoleate + Oxygen + NADPH + H+ <=> 12(13)-EpOME + NADP+ + H2O
rn:R07057	linoleate:oxygen 9-oxidoreductase; Linoleate + Oxygen <=> 9(S)-HPODE
rn:R07058	13-HODE:NAD+ oxidoreductase; 13(S)-HODE + NAD+ <=> 13-OxoODE + NADH + H+
rn:R07059	GDP-4-dehydro-6-deoxy-D-mannose <=> GDP-4-keto-6-L-deoxygalactose
rn:R07060	GDP-4-keto-6-L-deoxygalactose + NADPH + H+ <=> GDP-L-fucose + NADP+
rn:R07061	linoleate:oxygen (8R)-oxidoreductase; Linoleate + Oxygen <=> 8(R)-HPODE
rn:R07062	(8R,9Z,12Z)-8-hydroperoxyoctadeca-9,12-dienoate hydroxymutase [(7S,8S,9Z,12Z)-7,8-dihydroxyoctadeca-9,12-dienoate-forming]; 8(R)-HPODE <=> (7S,8S)-DiHODE
rn:R07063	Linoleoyl-CoA,hydrogen-donor:oxygen oxidoreductase; Linoleate + Reduced acceptor + Oxygen <=> (6Z,9Z,12Z)-Octadecatrienoic acid + Acceptor + 2 H2O
rn:R07064	phosphatidylcholine 2-acylhydrolase; Phosphatidylcholine + H2O <=> 1-Acyl-sn-glycero-3-phosphocholine + Linoleate
rn:R07066	bromobenzene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); Bromobenzene + NADPH + Oxygen + H+ <=> Bromobenzene-3,4-oxide + NADP+ + H2O
rn:R07067	Delta-12-Prostaglandin J2 <=> 15-Deoxy-Delta12,14-PGJ2 + H2O
rn:R07068	bromobenzene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); Bromobenzene + NADPH + Oxygen + H+ <=> Bromobenzene-2,3-oxide + NADP+ + H2O
rn:R07069	3,4-dihydro-3-hydroxy-4-S-glutathionyl bromobenzene glutathione-lyase (epoxide-forming); Bromobenzene-3,4-oxide + Glutathione <=> 3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene
rn:R07070	2,3-dihydro-2-S-glutathionyl-3-hydroxy bromobenzene glutathione-lyase (epoxide-forming); Bromobenzene-2,3-oxide + Glutathione <=> 2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene
rn:R07071	bromobenzene-3,4-oxide hydrolase; Bromobenzene-3,4-oxide + H2O <=> Bromobenzene-3,4-dihydrodiol
rn:R07072	bromobenzene-2,3-oxide hydrolase; Bromobenzene-2,3-oxide + H2O <=> Bromobenzene-2,3-dihydrodiol
rn:R07073	Bromobenzene-3,4-oxide <=> 4-Bromophenol
rn:R07074	Bromobenzene-2,3-oxide <=> 2-Bromophenol
rn:R07075	4-bromophenol, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); 4-Bromophenol + NADPH + Oxygen + H+ <=> 4-Bromophenol-2,3-epoxide + NADP+ + H2O
rn:R07076	4-Bromophenol-2,3-epoxide <=> 4-Bromocatechol
rn:R07077	4-Bromocatechol <=> 4-Bromo-3,5-cyclohexadiene-1,2-dione
rn:R07078	Bromobenzene-3,4-dihydrodiol <=> 4-Bromocatechol
rn:R07079	Benzpyrene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); Benzo[a]pyrene + NADPH + Oxygen + H+ <=> Benzo[a]pyrene-9,10-oxide + NADP+ + H2O
rn:R07080	Benzpyrene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); Benzo[a]pyrene + NADPH + Oxygen + H+ <=> Benzo[a]pyrene-7,8-oxide + NADP+ + H2O
rn:R07081	Benzpyrene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); Benzo[a]pyrene + NADPH + Oxygen + H+ <=> Benzo[a]pyrene-4,5-oxide + NADP+ + H2O
rn:R07082	benzo[a]pyrene-7,8-oxide hydrolase; Benzo[a]pyrene-7,8-oxide + H2O <=> Benzo[a]pyrene-7,8-diol
rn:R07083	4,5-dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene glutathione-lyase (epoxide-forming); Benzo[a]pyrene-4,5-oxide + Glutathione <=> 4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene
rn:R07084	7,8-dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene hydrolase; Benzo[a]pyrene-7,8-diol + Glutathione <=> 7,8-Dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene + H2O
rn:R07085	benzo[a]pyrene-7,8-diol, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); Benzo[a]pyrene-7,8-diol + NADPH + Oxygen + H+ <=> Benzo[a]pyrene-7,8-dihydrodiol-9,10-oxide + NADP+ + H2O
rn:R07086	Benzo[a]pyrene-9,10-oxide <=> 9-Hydroxybenzo[a]pyrene
rn:R07087	9-hydroxybenzo[a]pyrene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); 9-Hydroxybenzo[a]pyrene + NADPH + Oxygen + H+ <=> 9-Hydroxybenzo[a]pyrene-4,5-oxide + NADP+ + H2O
rn:R07088	1,1-dichloroethylene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); 1,1-Dichloroethylene + NADPH + Oxygen + H+ <=> 2,2-Dichloroacetaldehyde + NADP+ + H2O
rn:R07089	1,1-dichloroethylene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); 1,1-Dichloroethylene + NADPH + Oxygen + H+ <=> 1,1-Dichloroethylene epoxide + NADP+ + H2O
rn:R07090	1,1-dichloroethylene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); 1,1-Dichloroethylene + NADPH + Oxygen + H+ <=> Chloroacetyl chloride + NADP+ + H2O
rn:R07091	S-(2,2-dichloro-1-hydroxy)ethyl-glutathione 2,2-dichloroacetaldehyde-lyase (glutathione-forming); 2,2-Dichloroacetaldehyde + Glutathione <=> S-(2,2-Dichloro-1-hydroxy)ethyl glutathione
rn:R07092	1,1-dichloroethylene-epoxide:glutathione S-(chloroepoxyethyl)transferase [2-(S-glutathionyl)acetyl-chloride-forming]; 1,1-Dichloroethylene epoxide + Glutathione <=> 2-(S-Glutathionyl)acetyl chloride + Hydrochloric acid
rn:R07093	chloroacetyl-chloride:glutathione S-chloroacetyltransferase; Chloroacetyl chloride + Glutathione <=> S-(2-Chloroacetyl)glutathione + Hydrochloric acid
rn:R07094	2-(S-glutathionyl)acetyl-chloride:glutathione 2-(S-glutathionyl)acetyltransferase; 2-(S-Glutathionyl)acetyl chloride + Glutathione <=> 2-(S-Glutathionyl)acetyl glutathione + Hydrochloric acid
rn:R07095	2,2-Dichloroacetaldehyde + H2O <=> 2,2-Dichloro-1,1-ethanediol
rn:R07096	Chloroacetyl chloride + H2O <=> Chloroacetic acid
rn:R07097	2-(S-Glutathionyl)acetyl chloride + H2O <=> 2-S-Glutathionyl acetate
rn:R07098	trichloroethene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); Trichloroethene + NADPH + Oxygen + H+ <=> TCE epoxide + NADP+ + H2O
rn:R07099	trichloroethene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); Trichloroethene + NADPH + Oxygen + H+ <=> Chloral + NADP+ + H2O
rn:R07100	trichloroethene:glutathione S-(1,2-dichlorovinyl)transferase; Trichloroethene + Glutathione <=> S-(1,2-Dichlorovinyl)glutathione + Hydrochloric acid
rn:R07101	Chloral + H2O <=> Chloral hydrate
rn:R07102	TCE epoxide <=> Dichloroacetyl chloride
rn:R07103	Dichloroacetyl chloride <=> Dichloroacetate
rn:R07104	Chloral:NAD(P)+ oxidoreductase; Chloral hydrate + NAD+ <=> Trichloroacetate + NADH + H+
rn:R07105	trichloroethanol:NAD+ oxidoreductase; Chloral hydrate + NADH + H+ <=> Trichloroethanol + NAD+ + H2O
rn:R07106	UDP-glucuronate beta-D-glucuronosyltransferase; Trichloroethanol + UDP-glucuronate <=> Trichloroethanol glucuronide + UDP
rn:R07107	Trichloroethanol, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); Trichloroethanol + 2 NADPH + 2 Oxygen + 2 H+ <=> Trichloroacetate + 2 NADP+ + 3 H2O
rn:R07108	14,15-EET hydrolase; 14,15-EET + H2O <=> 14,15-DHET
rn:R07109	11,12-EET hydrolase; 11,12-EET + H2O <=> 11,12-DHET
rn:R07110	8,9-EET hydrolase; 8,9-EET + H2O <=> 8,9-DHET
rn:R07111	5,6-EET hydrolase; 5,6-EET + H2O <=> 5,6-DHET
rn:R07112	1,2-dibromoethane,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing); 1,2-Dibromoethane + NADPH + Oxygen + H+ <=> 2-Bromoacetaldehyde + NADP+ + H2O + Hydrobromic acid
rn:R07113	1,2-dibromoethane:glutathione ethylenetransferase (episulfonium-forming); 1,2-Dibromoethane + Glutathione + H+ <=> Glutathione episulfonium ion + 2 Hydrobromic acid
rn:R07114	S-(Formylmethyl)glutathione <=> Thiodiacetic acid
rn:R07115	S-(Formylmethyl)glutathione <=> Thiodiacetic acid sulfoxide
rn:R07116	2-bromoacetaldehyde:glutathione S-(formylmethyl)transferase; 2-Bromoacetaldehyde + Glutathione <=> S-(Formylmethyl)glutathione + Hydrobromic acid
rn:R07117	Glutathione episulfonium ion + H2O <=> S-(2-Hydroxyethyl)glutathione
rn:R07118	S-(2-Hydroxyethyl)glutathione <=> S-(2-Hydroxyethyl)-N-acetyl-L-cysteine
rn:R07119	Glutathione episulfonium ion <=> S-[2-(N7-Guanyl)ethyl]-N-acetyl-L-cysteine
rn:R07120	S-(Formylmethyl)glutathione <=> S-(2-Hydroxyethyl)glutathione
rn:R07121	12(13)-EpOME hydrolase; 12(13)-EpOME + H2O <=> 12,13-DHOME
rn:R07122	9(10)-EpOME hydrolase; 9(10)-EpOME + H2O <=> 9,10-DHOME
rn:R07123	Trichloroacetate <=> Dichloroacetate
rn:R07124	2-(S-Glutathionyl)acetyl glutathione + H2O <=> 2-S-Glutathionyl acetate + Glutathione
rn:R07125	3-dehydro-L-gulonate-6-phosphate carboxy-lyase; 3-Dehydro-L-gulonate 6-phosphate + H+ <=> L-Xylulose 5-phosphate + CO2
rn:R07127	ATP:3-dehydro-L-gulonate 6-phosphotransferase; 3-Dehydro-L-gulonate + ATP <=> 3-Dehydro-L-gulonate 6-phosphate + ADP
rn:R07128	Oplophorus-luciferin:oxygen 2-oxidoreductase (decarboxylating); Oplophorus luciferin + Oxygen <=> Oxidized Oplophorus luciferin + hn + CO2
rn:R07129	Dolichyl phosphate D-mannose + G00149 <=> Dolichyl phosphate + G00140
rn:R07131	G02047 + 2 UDP-N-acetyl-D-glucosamine <=> G06302 + 2 UDP
rn:R07133	D-sorbitol-6-phosphate:NAD+ 2-oxidoreductase; Sorbitol 6-phosphate + NAD+ <=> D-Fructose 6-phosphate + NADH + H+
rn:R07134	D-arabinitol:NAD+ 2-oxidoreductase (D-ribulose-forming); D-Arabitol + NAD+ <=> D-Ribulose + NADH + H+
rn:R07135	mannitol:NAD+ 1-oxidoreductase; Mannitol + NAD+ <=> D-Mannose + NADH + H+
rn:R07136	(2R)-3-sulfolactate:NAD+ oxidoreductase; (2R)-3-Sulfolactate + NAD+ <=> 3-Sulfopyruvate + NADH + H+
rn:R07137	(2R)-3-sulfolactate:NADP+ oxidoreductase; (2R)-3-Sulfolactate + NADP+ <=> 3-Sulfopyruvate + NADPH + H+
rn:R07138	3beta-hydroxy-5alpha-steroid:NADP+ 3-oxidoreductase; Isopregnanolone + NADP+ <=> 5alpha-Pregnane-3,20-dione + NADPH + H+
rn:R07140	S-(hydroxymethyl)glutathione:NADP+ oxidoreductase; S-(Hydroxymethyl)glutathione + NADP+ <=> S-Formylglutathione + NADPH + H+
rn:R07141	2'-deoxymugineic acid:NAD+ 3''-oxidoreductase; 2'-Deoxymugineic acid + NAD+ <=> 3''-Deamino-3''-oxonicotianamine + NADH + H+
rn:R07142	2'-deoxymugineic acid:NADP+ 3''-oxidoreductase; 2'-Deoxymugineic acid + NADP+ <=> 3''-Deamino-3''-oxonicotianamine + NADPH + H+
rn:R07143	D-arabinitol:NADP+ oxidoreductase; D-Arabitol + NADP+ <=> D-Xylulose + NADPH + H+
rn:R07144	D-arabinitol:NADP+ oxidoreductase; D-Arabitol + NADP+ <=> D-Ribulose + NADPH + H+
rn:R07145	L-iditol:NAD+ 2-oxidoreductase; L-Iditol + NAD+ <=> L-Sorbose + NADH + H+
rn:R07147	D-glucose:NADP+ 1-oxidoreductase; D-Glucose + NADP+ <=> D-Glucono-1,5-lactone + NADPH + H+
rn:R07148	D-threo-aldose:NAD+ 1-oxidoreductase; D-threo-Aldose + NAD+ <=> D-threo-Aldono-1,5-lactone + NADH + H+
rn:R07149	3beta-hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate:NADP+ 3-oxidoreductase (decarboxylating); 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate + NADP+ <=> 4alpha-Methyl-5alpha-cholest-7-en-3-one + CO2 + NADPH + H+
rn:R07150	dTDP-D-galactose:NADP+ 6-oxidoreductase; dTDP-galactose + 2 NADP+ + H2O <=> dTDP-D-galacturonate + 2 NADPH + 2 H+
rn:R07151	L-2-hydroxyphytanate:oxygen 2-oxidoreductase; L-2-Hydroxyphytanate + Oxygen <=> 2-Oxophytanate + Hydrogen peroxide
rn:R07152	xylitol:oxygen oxidoreductase; Xylitol + Oxygen <=> D-Xylose + Hydrogen peroxide
rn:R07153	2-dehydro-D-gluconate:acceptor 2-oxidoreductase; 2-Keto-D-gluconic acid + Acceptor <=> 2,5-Didehydro-D-gluconate + Reduced acceptor
rn:R07154	pyridoxine:(acceptor) 5-oxidoreductase; Pyridoxine + Acceptor <=> Isopyridoxal + Reduced acceptor
rn:R07155	(2R)-hydroxy-carboxylate:acceptor oxidoreductase; (R)-2-Hydroxyacid + Acceptor <=> 2-Oxo acid + Reduced acceptor
rn:R07156	fluoroacetaldehyde:NAD+ oxidoreductase; Fluoroacetaldehyde + NAD+ + H2O <=> Fluoroacetate + NADH + H+
rn:R07157	carbon-monoxide,water:ferredoxin oxidoreductase; CO + H2O + Oxidized ferredoxin <=> CO2 + Reduced ferredoxin
rn:R07158	aldehyde:ferredoxin oxidoreductase; Aldehyde + H2O + 2 Oxidized ferredoxin <=> Carboxylate + 2 Reduced ferredoxin + 2 H+
rn:R07159	D-glyceraldehyde-3-phosphate:ferredoxin oxidoreductase; D-Glyceraldehyde 3-phosphate + H2O + 2 Oxidized ferredoxin <=> 3-Phospho-D-glycerate + 2 H+ + 2 Reduced ferredoxin
rn:R07160	3-methyl-2-oxobutanoate:ferredoxin oxidoreductase (decarboxylating;CoA-2-methylpropanoylating); 3-Methyl-2-oxobutanoic acid + CoA + 2 Oxidized ferredoxin <=> 2-Methylpropanoyl-CoA + CO2 + 2 Reduced ferredoxin + H+
rn:R07161	3-(indol-3-yl)pyruvate:ferredoxin oxidoreductase (decarboxylating,CoA-indole-acetylating); Indolepyruvate + CoA + Oxidized ferredoxin <=> S-2-(Indol-3-yl)acetyl-CoA + CO2 + Reduced ferredoxin
rn:R07162	acyl-CoA:NADP+ trans-2-oxidoreductase; Acyl-CoA + NADP+ <=> trans-2,3-Dehydroacyl-CoA + NADPH + H+
rn:R07163	all-trans-13,14-dihydroretinol:acceptor 13,14-oxidoreductas; all-trans-13,14-Dihydroretinol + Acceptor <=> Retinol + Reduced acceptor
rn:R07164	L-aspartate:NAD+ oxidoreductase (deaminating); L-Aspartate + H2O + NAD+ <=> Oxaloacetate + Ammonia + NADH + H+
rn:R07165	L-aspartate:NADP+ oxidoreductase (deaminating); L-Aspartate + H2O + NADP+ <=> Oxaloacetate + Ammonia + NADPH + H+
rn:R07166	D-amino-acid:(acceptor) oxidoreductase (deaminating); D-Amino acid + H2O + Acceptor <=> 2-Oxo acid + Ammonia + Reduced acceptor
rn:R07167	taurine:(acceptor) oxidoreductase (deaminating); Taurine + H2O + Acceptor <=> Sulfoacetaldehyde + Ammonia + Reduced acceptor
rn:R07168	5-methyltetrahydrofolate:NAD+ oxidoreductase; 5-Methyltetrahydrofolate + NAD+ <=> 5,10-Methylenetetrahydrofolate + NADH + H+
rn:R07169	(R)-tetrahydroberberine:NADP+ oxidoreductase; (R)-Canadine + 2 NADP+ <=> Berberine + 2 NADPH + 2 H+
rn:R07170	(R)-6-hydroxynicotine:oxygen oxidoreductase; (R)-6-Hydroxynicotine + H2O + Oxygen <=> 6-Hydroxypseudooxynicotine + Hydrogen peroxide
rn:R07171	NADH:oxygen oxidoreductase; NADH + H+ + Oxygen <=> NAD+ + Hydrogen peroxide
rn:R07172	NADPH:oxygen oxidoreductase; NADPH + H+ + Oxygen <=> NADP+ + Hydrogen peroxide
rn:R07174	hydrazine:ferricytochrome c oxidoreductase; Hydrazine + 4 Ferricytochrome c <=> Nitrogen + 4 Ferrocytochrome c
rn:R07175	CoA:NADP+ oxidoreductase; 2 CoA + NADP+ <=> CoA-disulfide + NADPH + H+
rn:R07176	AMP,sulfite:thioredoxin-disulfide oxidoreductase(adenosine-5'-phosphosulfate-forming); AMP + Sulfite + Thioredoxin disulfide <=> Adenylyl sulfate + Thioredoxin
rn:R07177	thiosulfate:6-decylubiquinone oxidoreductase; 2 Thiosulfate + Decylubiquinone <=> Tetrathionate + Decylubiquinol
rn:R07178	violaxanthin:ascorbate oxidoreductase; Violaxanthin + Ascorbate <=> Antheraxanthin + Dehydroascorbate + H2O
rn:R07179	antheraxanthin:ascorbate oxidoreductase; Antheraxanthin + Ascorbate <=> Zeaxanthin + Dehydroascorbate + H2O
rn:R07180	thiol-containing-reductant:hydroperoxide oxidoreductase; ROOH + 2 Thiol-containing reductant <=> Alcohol + H2O + Oxidized thiol-containing reductant
rn:R07181	hydrogen:NADP+ oxidoreductase; Hydrogen + NADP+ <=> NADPH + H+
rn:R07182	hydrogen:(acceptor) oxidoreductase; Hydrogen + Acceptor <=> Reduced acceptor
rn:R07183	acetylacetone:oxygen oxidoreductase; Pentane-2,4-dione + Oxygen <=> Acetate + Methylglyoxal
rn:R07184	(gibberellin-44),2-oxoglutarate:oxygen oxidoreductase; Gibberellin A44 + 2-Oxoglutarate + Oxygen <=> Gibberellin A19 + Succinate + CO2
rn:R07185	2'-deoxymugineic acid,2-oxoglutarate:oxygen oxidoreductase(2-hydroxylating); 2'-Deoxymugineic acid + 2-Oxoglutarate + Oxygen <=> Mugineic acid + Succinate + CO2
rn:R07186	mugineic acid,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating); Mugineic acid + 2-Oxoglutarate + Oxygen <=> 3-Epihydroxymugineic acid + Succinate + CO2
rn:R07187	2'-deoxymugineic acid,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating); 2'-Deoxymugineic acid + 2-Oxoglutarate + Oxygen <=> 3-Epihydroxy-2'-deoxymugineic acid + Succinate + CO2
rn:R07188	benzoate,NADH:oxygen oxidoreductase (1,2-hydroxylating); Benzoate + NADH + H+ + Oxygen <=> 1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate + NAD+
rn:R07190	N,N-Dihydroxy-L-tyrosine <=> (E)-4-Hydroxyphenylacetaldehyde oxime + CO2 + H2O
rn:R07191	tetrachlorophenol,NADPH:oxygen oxidoreductase (hydroxylating); 2,3,5,6-Tetrachlorophenol + NADPH + H+ + Oxygen <=> Tetrachlorohydroquinone + NADP+ + H2O
rn:R07192	ketosteroid,NADPH:oxygen oxidoreductase (20-hydroxylating,ester-producing); Ketosteroid + NADPH + H+ + Oxygen <=> Steroid ester + NADP+ + H2O
rn:R07193	ketosteroid,NADPH:oxygen oxidoreductase (20-hydroxylating, side-chain cleaving/17-hydroxylating, lactonizing); Ketosteroid + NADPH + H+ + Oxygen <=> Steroid lactone + NADP+ + H2O
rn:R07194	alkene,NADH:oxygen oxidoreductase; Propylene + NADH + H+ + Oxygen <=> 1,2-Epoxypropane + NAD+ + H2O
rn:R07195	2-dimethylallyl-(6aS,11aS)-3,6a,9-trihydroxypterocarpan,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (cyclizing); Glyceocarpin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (-)-Glyceollin II + [Oxidized NADPH---hemoprotein reductase] + 2 H2O
rn:R07196	2-dimethylallyl-(6aS,11aS)-3,6a,9-trihydroxypterocarpan,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (cyclizing); Glyceocarpin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Glyceollin III + [Oxidized NADPH---hemoprotein reductase] + 2 H2O
rn:R07197	4-dimethylallyl-(6aS,11aS)-3,6a,9-trihydroxypterocarpan,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (cyclizing); 4-Glyceollidin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (-)-Glyceollin I + [Oxidized NADPH---hemoprotein reductase] + 2 H2O
rn:R07198	liquiritigenin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (licodione-forming); Liquiritigenin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Licodione + [Oxidized NADPH---hemoprotein reductase] + H2O
rn:R07201	phenylacetone,NADPH:oxygen oxidoreductase; Phenylacetone + NADPH + H+ + Oxygen <=> Benzyl acetate + NADP+ + H2O
rn:R07202	abscisate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (8'-hydroxylating); Abscisate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 8'-Hydroxyabscisate + [Oxidized NADPH---hemoprotein reductase] + H2O
rn:R07203	lithocholate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (6beta-hydroxylating); Lithocholic acid + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Murideoxycholic acid + [Oxidized NADPH---hemoprotein reductase] + H2O
