SCENARIO	REACTION
Alanine biosynthesis:Cysteine to L Alanine:1:reactions	R07460
Alanine biosynthesis:Cysteine to L Alanine:1:reactions	R01215
Alanine biosynthesis:Cysteine to L Alanine:1:reactions	R00401
Alanine biosynthesis:Cysteine to L Alanine:1:reactions	R00258
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:7:reactions	R01061
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:7:reactions	R00658
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:7:reactions	R04779
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:7:reactions	R00199
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:7:reactions	R01600
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:7:reactions	R01786
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:7:reactions	R01058
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:7:reactions	R02073
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:7:reactions	R01070
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:7:reactions	R04780
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:7:reactions	R01063
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:7:reactions	R01512
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:7:reactions	R01518
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:7:reactions	R01015
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:7:reactions	R02740
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:7:reactions	R00200
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:7:reactions	R00206
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:7:reactions	R03321
D-Galacturonate Utilization:Glucuronate to Glyceraldehyde3P:1:reactions	R01983
D-Galacturonate Utilization:Glucuronate to Glyceraldehyde3P:1:reactions	R02555
D-Galacturonate Utilization:Glucuronate to Glyceraldehyde3P:1:reactions	R01541
D-Galacturonate Utilization:Glucuronate to Glyceraldehyde3P:1:reactions	R05605
D-Galacturonate Utilization:Glucuronate to Glyceraldehyde3P:1:reactions	R01540
D-Galacturonate Utilization:Glucuronate to Glyceraldehyde3P:1:reactions	R05606
D-Galacturonate Utilization:Glucuronate to Glyceraldehyde3P:1:reactions	R02454
D-Galacturonate Utilization:Glucuronate to Glyceraldehyde3P:1:reactions	R01482
L-ascorbate utilization (and related gene clusters):Ascorbate6P to Xylulose5P:1:reactions	R07677
L-ascorbate utilization (and related gene clusters):Ascorbate6P to Xylulose5P:1:reactions	R05850
L-ascorbate utilization (and related gene clusters):Ascorbate6P to Xylulose5P:1:reactions	R03244
L-ascorbate utilization (and related gene clusters):Ascorbate6P to Xylulose5P:1:reactions	R07125
L-ascorbate utilization (and related gene clusters):Ascorbate6P to Xylulose5P:1:reactions	R02637
L-ascorbate utilization (and related gene clusters):Ascorbate6P to Xylulose5P:1:reactions	R02639
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R02570
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R01325
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R00432
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R01257
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R01900
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R00408
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R01082
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R03316
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R00709
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R00342
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R00268
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R00352
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R01324
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R00351
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R01899
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R00707
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R01197
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R00405
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R07618
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R00727
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:78:reactions	R00621
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R02570
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R01325
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R00432
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R01257
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R01900
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R00408
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R01082
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R03316
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R00709
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R00342
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R00268
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R00352
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R01324
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R00351
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R01899
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R00707
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R01197
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R00405
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R07618
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R00727
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:18:reactions	R00621
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:15:reactions	R01061
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:15:reactions	R00658
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:15:reactions	R04779
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:15:reactions	R00199
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:15:reactions	R01600
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:15:reactions	R01786
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:15:reactions	R01058
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:15:reactions	R02073
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:15:reactions	R01070
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:15:reactions	R04780
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:15:reactions	R01063
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:15:reactions	R01512
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:15:reactions	R01518
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:15:reactions	R01015
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:15:reactions	R02740
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:15:reactions	R00200
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:15:reactions	R00206
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:15:reactions	R03321
Formate hydrogenase:Formate dehydrogenase:1:reactions	R00519
Threonine and Homoserine Biosynthesis:Oxaloacetate to Homoserine:2:reactions	R00355
Threonine and Homoserine Biosynthesis:Oxaloacetate to Homoserine:2:reactions	R01466
Threonine and Homoserine Biosynthesis:Oxaloacetate to Homoserine:2:reactions	R02291
Threonine and Homoserine Biosynthesis:Oxaloacetate to Homoserine:2:reactions	R01775
Threonine and Homoserine Biosynthesis:Oxaloacetate to Homoserine:2:reactions	R01771
Threonine and Homoserine Biosynthesis:Oxaloacetate to Homoserine:2:reactions	R00480
Threonine and Homoserine Biosynthesis:Oxaloacetate to Homoserine:2:reactions	R01773
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:1:reactions	R01061
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:1:reactions	R00658
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:1:reactions	R04779
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:1:reactions	R00199
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:1:reactions	R01600
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:1:reactions	R01786
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:1:reactions	R01058
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:1:reactions	R02073
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:1:reactions	R01070
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:1:reactions	R04780
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:1:reactions	R01063
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:1:reactions	R01512
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:1:reactions	R01518
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:1:reactions	R01015
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:1:reactions	R02740
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:1:reactions	R00200
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:1:reactions	R00206
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:1:reactions	R03321
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Pyruvate to AcetylCoA:1:reactions	R00710
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Pyruvate to AcetylCoA:1:reactions	R00230
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Pyruvate to AcetylCoA:1:reactions	R00228
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Pyruvate to AcetylCoA:1:reactions	R00315
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Pyruvate to AcetylCoA:1:reactions	R00317
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Pyruvate to AcetylCoA:1:reactions	R03145
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Pyruvate to AcetylCoA:1:reactions	R07618
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Pyruvate to AcetylCoA:1:reactions	R00235
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Pyruvate to AcetylCoA:1:reactions	R03270
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Pyruvate to AcetylCoA:1:reactions	R02569
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Pyruvate to AcetylCoA:1:reactions	R00207
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Pyruvate to AcetylCoA:1:reactions	R00229
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Pyruvate to AcetylCoA:1:reactions	R00014
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Pyruvate to AcetylCoA:1:reactions	R00755
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R02570
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R01325
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R00432
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R01257
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R01900
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R00408
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R01082
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R03316
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R00709
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R00342
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R00268
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R00352
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R01324
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R00351
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R01899
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R00707
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R01197
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R00405
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R07618
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R00727
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:70:reactions	R00621
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:17:reactions	R01061
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:17:reactions	R00658
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:17:reactions	R04779
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:17:reactions	R00199
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:17:reactions	R01600
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:17:reactions	R01786
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:17:reactions	R01058
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:17:reactions	R02073
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:17:reactions	R01070
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:17:reactions	R04780
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:17:reactions	R01063
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:17:reactions	R01512
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:17:reactions	R01518
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:17:reactions	R01015
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:17:reactions	R02740
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:17:reactions	R00200
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:17:reactions	R00206
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:17:reactions	R03321
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Acetate to AcetylCoA:2:reactions	R00710
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Acetate to AcetylCoA:2:reactions	R00230
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Acetate to AcetylCoA:2:reactions	R00228
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Acetate to AcetylCoA:2:reactions	R00315
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Acetate to AcetylCoA:2:reactions	R00317
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Acetate to AcetylCoA:2:reactions	R03145
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Acetate to AcetylCoA:2:reactions	R07618
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Acetate to AcetylCoA:2:reactions	R00235
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Acetate to AcetylCoA:2:reactions	R03270
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Acetate to AcetylCoA:2:reactions	R02569
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Acetate to AcetylCoA:2:reactions	R00207
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Acetate to AcetylCoA:2:reactions	R00229
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Acetate to AcetylCoA:2:reactions	R00014
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate:Acetate to AcetylCoA:2:reactions	R00755
Histidine Degradation:Histidine to Glutamate:3:reactions	R02288
Histidine Degradation:Histidine to Glutamate:3:reactions	R02914
Histidine Degradation:Histidine to Glutamate:3:reactions	R02285
Histidine Degradation:Histidine to Glutamate:3:reactions	R01168
Histidine Degradation:Histidine to Glutamate:3:reactions	R02287
Histidine Degradation:Histidine to Glutamate:3:reactions	R02286
Histidine Degradation:Histidine to Glutamate:3:reactions	R00525
Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis:Glutamate to Glutamine:3:reactions	R00578
Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis:Glutamate to Glutamine:3:reactions	R00260
Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis:Glutamate to Glutamine:3:reactions	R00253
Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis:Glutamate to Glutamine:3:reactions	R00483
Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis:Glutamate to Glutamine:3:reactions	R00485
Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis:Glutamate to Glutamine:3:reactions	R00490
Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis:Glutamate to Glutamine:3:reactions	R00256
Lysine degradation:Lysine to Aminoadipate:1:reactions	R00449
Lysine degradation:Lysine to Aminoadipate:1:reactions	R00460
Lysine degradation:Lysine to Aminoadipate:1:reactions	R00716
Lysine degradation:Lysine to Aminoadipate:1:reactions	R02203
Lysine degradation:Lysine to Aminoadipate:1:reactions	R00715
Lysine degradation:Lysine to Aminoadipate:1:reactions	R03102
Lysine degradation:Lysine to Aminoadipate:1:reactions	R02273
Lysine degradation:Lysine to Aminoadipate:1:reactions	R03275
Lysine degradation:Lysine to Aminoadipate:1:reactions	R04175
Lysine degradation:Lysine to Aminoadipate:1:reactions	R02401
Lysine degradation:Lysine to Aminoadipate:1:reactions	R02315
Lysine degradation:Lysine to Aminoadipate:1:reactions	R00461
Lysine degradation:Lysine to Aminoadipate:1:reactions	R02205
Lysine degradation:Lysine to Aminoadipate:1:reactions	R02313
Lysine degradation:Lysine to Aminoadipate:1:reactions	R02204
Lysine degradation:Lysine to Aminoadipate:1:reactions	R03103
Lysine degradation:Lysine to Aminoadipate:1:reactions	R02274
Lysine degradation:Lysine to Aminoadipate:1:reactions	R02317
Lysine degradation:Lysine to Aminoadipate:1:reactions	R02201
Lysine degradation:Lysine to Aminoadipate:1:reactions	R00462
Lysine degradation:Lysine to Aminoadipate:1:reactions	R02851
Pentose phosphate pathway:Glucose6P to Sedoheptulose7P and Glyceraldehyde3P:1:reactions	R01830
Pentose phosphate pathway:Glucose6P to Sedoheptulose7P and Glyceraldehyde3P:1:reactions	R01827
Pentose phosphate pathway:Glucose6P to Sedoheptulose7P and Glyceraldehyde3P:1:reactions	R01067
Pentose phosphate pathway:Glucose6P to Sedoheptulose7P and Glyceraldehyde3P:1:reactions	R02035
Pentose phosphate pathway:Glucose6P to Sedoheptulose7P and Glyceraldehyde3P:1:reactions	R01641
Pentose phosphate pathway:Glucose6P to Sedoheptulose7P and Glyceraldehyde3P:1:reactions	R01529
Pentose phosphate pathway:Glucose6P to Sedoheptulose7P and Glyceraldehyde3P:1:reactions	R01528
Pentose phosphate pathway:Glucose6P to Sedoheptulose7P and Glyceraldehyde3P:1:reactions	R02736
Pentose phosphate pathway:Glucose6P to Sedoheptulose7P and Glyceraldehyde3P:1:reactions	R00835
Pentose phosphate pathway:Glucose6P to Sedoheptulose7P and Glyceraldehyde3P:1:reactions	R01049
Pentose phosphate pathway:Glucose6P to Sedoheptulose7P and Glyceraldehyde3P:1:reactions	R01056
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R02570
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R01325
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R00432
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R01257
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R01900
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R00408
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R01082
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R03316
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R00709
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R00342
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R00268
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R00352
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R01324
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R00351
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R01899
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R00707
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R01197
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R00405
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R07618
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R00727
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:48:reactions	R00621
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R01291
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R01288
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R04858
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R01287
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R01224
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R02026
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R04405
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R04859
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R00177
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R02821
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R00946
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R00194
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R01776
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R00192
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R01771
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R01777
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R07168
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R00586
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R00782
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R00999
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R01775
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R00897
Methionine Biosynthesis:Homoserine to Homocysteine using Sulfhydrylation:2:reactions	R01286
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:8:reactions	R01061
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:8:reactions	R00658
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:8:reactions	R04779
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:8:reactions	R00199
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:8:reactions	R01600
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:8:reactions	R01786
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:8:reactions	R01058
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:8:reactions	R02073
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:8:reactions	R01070
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:8:reactions	R04780
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:8:reactions	R01063
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:8:reactions	R01512
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:8:reactions	R01518
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:8:reactions	R01015
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:8:reactions	R02740
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:8:reactions	R00200
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:8:reactions	R00206
Glycolysis and Gluconeogenesis:Glucose6P to Pyruvate:8:reactions	R03321
Trehalose Uptake and Utilization:Trehalose6P to Glucose and Glucose6P:2:reactions	R05767
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:6:reactions	R01061
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:6:reactions	R00658
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:6:reactions	R04779
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:6:reactions	R00199
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:6:reactions	R01600
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:6:reactions	R01786
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:6:reactions	R01058
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:6:reactions	R02073
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:6:reactions	R01070
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:6:reactions	R04780
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:6:reactions	R01063
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:6:reactions	R01512
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:6:reactions	R01518
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:6:reactions	R01015
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:6:reactions	R02740
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:6:reactions	R00200
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:6:reactions	R00206
Glycolysis and Gluconeogenesis:Fructose6P to Pyruvate:6:reactions	R03321
Peptidoglycan Biosynthesis 2:UDP N acetylglucosamine to UDP N acetylmuramate:1:reactions	R00415
Peptidoglycan Biosynthesis 2:UDP N acetylglucosamine to UDP N acetylmuramate:1:reactions	R05662
Peptidoglycan Biosynthesis 2:UDP N acetylglucosamine to UDP N acetylmuramate:1:reactions	R00660
