Class	Sub-class	Name	Role	Reaction
Experimental Subsystems	-	Heme_temp_review	Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3)	rxn02303
Experimental Subsystems	-	Heme_temp_review	Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)	rxn04704
Experimental Subsystems	-	Heme_temp_review	Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)	rxn00224
Experimental Subsystems	-	Heme_temp_review	Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)	rxn01629
Experimental Subsystems	-	Heme_temp_review	Glutamyl-tRNA reductase (EC 1.2.1.70)	rxn06591
Experimental Subsystems	-	Heme_temp_review	Glutathione synthetase (EC 6.3.2.3)	rxn00351
Experimental Subsystems	-	Heme_temp_review	Hypothetical radical SAM family enzyme in heat shock gene cluster, similarity with CPO of BS HemN-type	rxn02303
Experimental Subsystems	-	Heme_temp_review	Porphobilinogen deaminase (EC 2.5.1.61)	rxn00060
Experimental Subsystems	-	Heme_temp_review	Porphobilinogen synthase (EC 4.2.1.24)	rxn00029
Experimental Subsystems	-	Heme_temp_review	Protoporphyrinogen IX oxidase, aerobic, HemY (EC 1.3.3.4)	rxn02304
Experimental Subsystems	-	Heme_temp_review	Protoporphyrinogen IX oxidase, oxygen-independent, HemG (EC 1.3.-.-)	rxn09180
Experimental Subsystems	-	Heme_temp_review	Sirohydrochlorin cobaltochelatase (EC 4.99.1.3)	rxn04045
Experimental Subsystems	-	Heme_temp_review	Sirohydrochlorin ferrochelatase (EC 4.99.1.4)	rxn02056
Experimental Subsystems	-	Heme_temp_review	Uroporphyrinogen III decarboxylase (EC 4.1.1.37)	rxn02288
Experimental Subsystems	-	Heme_temp_review	Uroporphyrinogen III decarboxylase (EC 4.1.1.37)	rxn03384
Experimental Subsystems	-	Heme_temp_review	Uroporphyrinogen-III methyltransferase (EC 2.1.1.107)	rxn05005
Experimental Subsystems	-	Heme_temp_review	Uroporphyrinogen-III methyltransferase (EC 2.1.1.107)	rxn05006
Experimental Subsystems	-	Heme_temp_review	Uroporphyrinogen-III synthase (EC 4.2.1.75)	rxn02264
Experimental Subsystems	-	Homocitrate_to_2-oxoadipate_module	Alpha-aminoadipate aminotransferase (EC 2.6.1.39)	rxn01423
Experimental Subsystems	-	Homocitrate_to_2-oxoadipate_module	Homoaconitase large subunit (EC 4.2.1.36)	rxn02466
Experimental Subsystems	-	Homocitrate_to_2-oxoadipate_module	Homoaconitase large subunit (EC 4.2.1.36)	rxn03034
Experimental Subsystems	-	Homocitrate_to_2-oxoadipate_module	Homoaconitase small subunit (EC 4.2.1.36)	rxn02466
Experimental Subsystems	-	Homocitrate_to_2-oxoadipate_module	Homoaconitase small subunit (EC 4.2.1.36)	rxn03034
Experimental Subsystems	-	Homocitrate_to_2-oxoadipate_module	Homocitrate synthase (EC 2.3.3.14)	rxn00202
Experimental Subsystems	-	Homocitrate_to_2-oxoadipate_module	Homoisocitrate dehydrogenase (EC 1.1.1.87)	rxn01420
Experimental Subsystems	-	Homocitrate_to_2-oxoadipate_module	Homoisocitrate dehydrogenase (EC 1.1.1.87)	rxn03324
Experimental Subsystems	-	Hypothetical_DUF454	Adenylosuccinate synthetase (EC 6.3.4.4)	rxn00838
Experimental Subsystems	-	Hypothetical_DUF454	Chromosome partition protein smc	rxn13783
Experimental Subsystems	-	Hypothetical_DUF454	LSU ribosomal protein L9p	rxn13782
Experimental Subsystems	-	Hypothetical_DUF454	Replicative DNA helicase (EC 3.6.1.-) [SA14-24]	rxn13783
Experimental Subsystems	-	Hypothetical_DUF454	Two-component response regulator SA14-24	rxn13784
Experimental Subsystems	-	Hypothetical_DUF454	Two-component sensor kinase SA14-24	rxn13784
Experimental Subsystems	-	Iron-sulfur_cluster_assembly	Cysteine desulfurase (EC 2.8.1.7)	rxn09310
Experimental Subsystems	-	Iron-sulfur_experimental	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	rxn02789
Experimental Subsystems	-	Iron-sulfur_experimental	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	rxn02811
Experimental Subsystems	-	Iron-sulfur_experimental	3-phenylpropionate dioxygenase ferredoxin subunit	rxn04597
Experimental Subsystems	-	Iron-sulfur_experimental	Aconitate hydratase (EC 4.2.1.3)	rxn00973
Experimental Subsystems	-	Iron-sulfur_experimental	Aconitate hydratase (EC 4.2.1.3)	rxn00974
Experimental Subsystems	-	Iron-sulfur_experimental	Aconitate hydratase (EC 4.2.1.3)	rxn01388
Experimental Subsystems	-	Iron-sulfur_experimental	Aconitate hydratase 2 (EC 4.2.1.3)	rxn00973
Experimental Subsystems	-	Iron-sulfur_experimental	Aconitate hydratase 2 (EC 4.2.1.3)	rxn00974
Experimental Subsystems	-	Iron-sulfur_experimental	Aconitate hydratase 2 (EC 4.2.1.3)	rxn01388
Experimental Subsystems	-	Iron-sulfur_experimental	Anaerobic dimethyl sulfoxide reductase chain A (EC 1.8.99.-)	rxn08354
Experimental Subsystems	-	Iron-sulfur_experimental	Anaerobic dimethyl sulfoxide reductase chain A (EC 1.8.99.-)	rxn08356
Experimental Subsystems	-	Iron-sulfur_experimental	Anaerobic dimethyl sulfoxide reductase chain A (EC 1.8.99.-)	rxn09313
Experimental Subsystems	-	Iron-sulfur_experimental	Anaerobic dimethyl sulfoxide reductase chain A (EC 1.8.99.-)	rxn09315
Experimental Subsystems	-	Iron-sulfur_experimental	Anaerobic dimethyl sulfoxide reductase chain B (EC 1.8.99.-)	rxn08354
Experimental Subsystems	-	Iron-sulfur_experimental	Anaerobic dimethyl sulfoxide reductase chain B (EC 1.8.99.-)	rxn08356
Experimental Subsystems	-	Iron-sulfur_experimental	Anaerobic dimethyl sulfoxide reductase chain B (EC 1.8.99.-)	rxn09313
Experimental Subsystems	-	Iron-sulfur_experimental	Anaerobic dimethyl sulfoxide reductase chain B (EC 1.8.99.-)	rxn09315
Experimental Subsystems	-	Iron-sulfur_experimental	Anaerobic glycerol-3-phosphate dehydrogenase subunit B (EC 1.1.5.3)	rxn00616
Experimental Subsystems	-	Iron-sulfur_experimental	Anaerobic glycerol-3-phosphate dehydrogenase subunit B (EC 1.1.5.3)	rxn08556
Experimental Subsystems	-	Iron-sulfur_experimental	Anaerobic glycerol-3-phosphate dehydrogenase subunit B (EC 1.1.5.3)	rxn08557
Experimental Subsystems	-	Iron-sulfur_experimental	Anaerobic glycerol-3-phosphate dehydrogenase subunit B (EC 1.1.5.3)	rxn08558
Experimental Subsystems	-	Iron-sulfur_experimental	Biotin synthase (EC 2.8.1.6)	rxn08180
Experimental Subsystems	-	Iron-sulfur_experimental	Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)	rxn04704
Experimental Subsystems	-	Iron-sulfur_experimental	Cysteine desulfurase (EC 2.8.1.7)	rxn09310
Experimental Subsystems	-	Iron-sulfur_experimental	Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1)	rxn08335
Experimental Subsystems	-	Iron-sulfur_experimental	Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1)	rxn08336
Experimental Subsystems	-	Iron-sulfur_experimental	Dihydroxy-acid dehydratase (EC 4.2.1.9)	rxn00898
Experimental Subsystems	-	Iron-sulfur_experimental	Dihydroxy-acid dehydratase (EC 4.2.1.9)	rxn03437
Experimental Subsystems	-	Iron-sulfur_experimental	Ferredoxin-type protein NapG (periplasmic nitrate reductase)	rxn10120
Experimental Subsystems	-	Iron-sulfur_experimental	Formate dehydrogenase N beta subunit (EC 1.2.1.2)	rxn00371
Experimental Subsystems	-	Iron-sulfur_experimental	Formate dehydrogenase N beta subunit (EC 1.2.1.2)	rxn10114
Experimental Subsystems	-	Iron-sulfur_experimental	Formate dehydrogenase O beta subunit (EC 1.2.1.2)	rxn00371
Experimental Subsystems	-	Iron-sulfur_experimental	Formate dehydrogenase O beta subunit (EC 1.2.1.2)	rxn10114
Experimental Subsystems	-	Iron-sulfur_experimental	Formate dehydrogenase chain D (EC 1.2.1.2)	rxn00371
Experimental Subsystems	-	Iron-sulfur_experimental	Formate hydrogenlyase subunit 2	rxn10118
Experimental Subsystems	-	Iron-sulfur_experimental	Formate hydrogenlyase subunit 7	rxn10118
Experimental Subsystems	-	Iron-sulfur_experimental	Fumarate hydratase class I, aerobic (EC 4.2.1.2)	rxn00799
Experimental Subsystems	-	Iron-sulfur_experimental	Fumarate hydratase class I, anaerobic (EC 4.2.1.2)	rxn00799
Experimental Subsystems	-	Iron-sulfur_experimental	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	rxn00085
Experimental Subsystems	-	Iron-sulfur_experimental	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	rxn00085
Experimental Subsystems	-	Iron-sulfur_experimental	Hydroxymethylpyrimidine phosphate synthase ThiC	rxn09997
Experimental Subsystems	-	Iron-sulfur_experimental	L-serine dehydratase (EC 4.3.1.17)	rxn00165
Experimental Subsystems	-	Iron-sulfur_experimental	NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	rxn10122
Experimental Subsystems	-	Iron-sulfur_experimental	NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)	rxn10122
Experimental Subsystems	-	Iron-sulfur_experimental	NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)	rxn10122
Experimental Subsystems	-	Iron-sulfur_experimental	NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)	rxn10122
Experimental Subsystems	-	Iron-sulfur_experimental	NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	rxn10122
Experimental Subsystems	-	Iron-sulfur_experimental	Periplasmic nitrate reductase precursor (EC 1.7.99.4)	rxn10120
Experimental Subsystems	-	Iron-sulfur_experimental	Periplasmic nitrate reductase precursor (EC 1.7.99.4)	rxn10121
Experimental Subsystems	-	Iron-sulfur_experimental	Phosphogluconate dehydratase (EC 4.2.1.12)	rxn01477
Experimental Subsystems	-	Iron-sulfur_experimental	Polyferredoxin NapH (periplasmic nitrate reductase)	rxn10120
Experimental Subsystems	-	Iron-sulfur_experimental	Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)	rxn00157
Experimental Subsystems	-	Iron-sulfur_experimental	Quinolinate synthetase (EC 4.1.99.-)	rxn02988
Experimental Subsystems	-	Iron-sulfur_experimental	Respiratory nitrate reductase alpha chain (EC 1.7.99.4)	rxn10120
Experimental Subsystems	-	Iron-sulfur_experimental	Respiratory nitrate reductase alpha chain (EC 1.7.99.4)	rxn10121
Experimental Subsystems	-	Iron-sulfur_experimental	Respiratory nitrate reductase beta chain (EC 1.7.99.4)	rxn10120
Experimental Subsystems	-	Iron-sulfur_experimental	Respiratory nitrate reductase beta chain (EC 1.7.99.4)	rxn10121
Experimental Subsystems	-	Iron-sulfur_experimental	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	rxn00288
Experimental Subsystems	-	Iron-sulfur_experimental	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	rxn08527
Experimental Subsystems	-	Iron-sulfur_experimental	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	rxn08528
Experimental Subsystems	-	Iron-sulfur_experimental	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	rxn09272
Experimental Subsystems	-	Iron-sulfur_experimental	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	rxn10126
Experimental Subsystems	-	Iron-sulfur_experimental	Sulfite reductase [NADPH] hemoprotein beta-component (EC 1.8.1.2)	rxn00623
Experimental Subsystems	-	Iron-sulfur_experimental	Thiazole biosynthesis protein ThiH	rxn09310
Experimental Subsystems	-	Iron-sulfur_experimental	Uptake hydrogenase small subunit precursor (EC 1.12.99.6)	rxn10117
Experimental Subsystems	-	Iron-sulfur_experimental	Uptake hydrogenase small subunit precursor (EC 1.12.99.6)	rxn10118
Experimental Subsystems	-	Iron-sulfur_experimental	Uptake hydrogenase small subunit precursor (EC 1.12.99.6)	rxn10119
Experimental Subsystems	-	L-2-amino-adipate_to_lysine_module	Acetylaminoadipate kinase (EC 2.7.2.-)	rxn04657
Experimental Subsystems	-	L-2-amino-adipate_to_lysine_module	Lysine biosynthesis protein LysX	rxn04656
Experimental Subsystems	-	L-2-amino-adipate_to_lysine_module	N-acetyl-gamma-aminoadipyl-phosphate reductase (EC 1.2.1.-)	rxn04658
Experimental Subsystems	-	L-2-amino-adipate_to_lysine_module	N-acetyl-lysine aminotransferase (EC 2.6.1.-)	rxn04659
Experimental Subsystems	-	L-2-amino-adipate_to_lysine_module	N-acetyl-lysine deacetylase (EC 3.5.1.-)	rxn04660
Experimental Subsystems	-	Listeria_autolysins	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)	rxn00461
Experimental Subsystems	-	Methionine_Biosynthesis_short	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	rxn00693
Experimental Subsystems	-	Methionine_Biosynthesis_short	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)	rxn03052
Experimental Subsystems	-	Methionine_Biosynthesis_short	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)	rxn11944
Experimental Subsystems	-	Methionine_Biosynthesis_short	Cystathionine beta-lyase (EC 4.4.1.8)	rxn00566
Experimental Subsystems	-	Methionine_Biosynthesis_short	Cystathionine beta-lyase (EC 4.4.1.8)	rxn00950
Experimental Subsystems	-	Methionine_Biosynthesis_short	Cystathionine beta-synthase (EC 4.2.1.22)	rxn00953
Experimental Subsystems	-	Methionine_Biosynthesis_short	Cystathionine gamma-lyase (EC 4.4.1.1)	rxn00566
Experimental Subsystems	-	Methionine_Biosynthesis_short	Cystathionine gamma-lyase (EC 4.4.1.1)	rxn00742
Experimental Subsystems	-	Methionine_Biosynthesis_short	Cystathionine gamma-synthase (EC 2.5.1.48)	rxn00740
Experimental Subsystems	-	Methionine_Biosynthesis_short	Cystathionine gamma-synthase (EC 2.5.1.48)	rxn01816
Experimental Subsystems	-	Methionine_Biosynthesis_short	Cystathionine gamma-synthase (EC 2.5.1.48)	rxn02302
Experimental Subsystems	-	Methionine_Biosynthesis_short	Homoserine O-acetyltransferase (EC 2.3.1.31)	rxn01303
Experimental Subsystems	-	Methionine_Biosynthesis_short	Homoserine O-succinyltransferase (EC 2.3.1.46)	rxn01304
Experimental Subsystems	-	Methionine_Biosynthesis_short	Homoserine dehydrogenase (EC 1.1.1.3)	rxn01301
Experimental Subsystems	-	Methionine_Biosynthesis_short	Homoserine dehydrogenase (EC 1.1.1.3)	rxn01302
Experimental Subsystems	-	Methionine_Biosynthesis_short	Homoserine kinase (EC 2.7.1.39)	rxn01300
Experimental Subsystems	-	Methionine_Biosynthesis_short	Methionine synthase activation domain (EC 2.1.1.13)	rxn00693
Experimental Subsystems	-	Methionine_Biosynthesis_short	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49)	rxn00952
Experimental Subsystems	-	Methionine_Biosynthesis_short	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49)	rxn06078
Experimental Subsystems	-	Molybdopterin_experimental	Pterin-4-alpha-carbinolamine dehydratase (EC 4.2.1.96)	rxn03236
Experimental Subsystems	-	Multiple_resistance_and_pH-related_antiporter_Mrp	Na(+) H(+) antiporter subunit A (TC 2.A.63.1.2)	rxn05209
Experimental Subsystems	-	Multiple_resistance_and_pH-related_antiporter_Mrp	Na(+) H(+) antiporter subunit A (TC 2.A.63.1.3)	rxn05209
Experimental Subsystems	-	Multiple_resistance_and_pH-related_antiporter_Mrp	Na(+) H(+) antiporter subunit B (TC 2.A.63.1.2)	rxn05209
Experimental Subsystems	-	Multiple_resistance_and_pH-related_antiporter_Mrp	Na(+) H(+) antiporter subunit B (TC 2.A.63.1.3)	rxn05209
Experimental Subsystems	-	Multiple_resistance_and_pH-related_antiporter_Mrp	Na(+) H(+) antiporter subunit C (TC 2.A.63.1.2)	rxn05209
Experimental Subsystems	-	Multiple_resistance_and_pH-related_antiporter_Mrp	Na(+) H(+) antiporter subunit C (TC 2.A.63.1.3)	rxn05209
Experimental Subsystems	-	Multiple_resistance_and_pH-related_antiporter_Mrp	Na(+) H(+) antiporter subunit D (TC 2.A.63.1.2)	rxn05209
Experimental Subsystems	-	Multiple_resistance_and_pH-related_antiporter_Mrp	Na(+) H(+) antiporter subunit D (TC 2.A.63.1.3)	rxn05209
Experimental Subsystems	-	Multiple_resistance_and_pH-related_antiporter_Mrp	Na(+) H(+) antiporter subunit E (TC 2.A.63.1.2)	rxn05209
Experimental Subsystems	-	Multiple_resistance_and_pH-related_antiporter_Mrp	Na(+) H(+) antiporter subunit E (TC 2.A.63.1.3)	rxn05209
Experimental Subsystems	-	Multiple_resistance_and_pH-related_antiporter_Mrp	Na(+) H(+) antiporter subunit F (TC 2.A.63.1.2)	rxn05209
Experimental Subsystems	-	Multiple_resistance_and_pH-related_antiporter_Mrp	Na(+) H(+) antiporter subunit F (TC 2.A.63.1.3)	rxn05209
Experimental Subsystems	-	Multiple_resistance_and_pH-related_antiporter_Mrp	Na(+) H(+) antiporter subunit G (TC 2.A.63.1.2)	rxn05209
Experimental Subsystems	-	Multiple_resistance_and_pH-related_antiporter_Mrp	Na(+) H(+) antiporter subunit G (TC 2.A.63.1.3)	rxn05209
Experimental Subsystems	-	Multiple_resistance_and_pH-related_antiporter_Mrp	Na+/H+ antiporter NhaA type	rxn05209
Experimental Subsystems	-	Multiple_resistance_and_pH-related_antiporter_Mrp	Potassium uptake protein, integral membrane component, KtrA	rxn05596
Experimental Subsystems	-	Multiple_resistance_and_pH-related_antiporter_Mrp	Potassium uptake protein, integral membrane component, KtrB	rxn05596
Experimental Subsystems	-	Na_dependent_energetics	Malonate decarboxylase alpha subunit	rxn12206
Experimental Subsystems	-	Na_dependent_energetics	Malonate decarboxylase beta subunit	rxn12206
Experimental Subsystems	-	Na_dependent_energetics	Malonate decarboxylase delta subunit	rxn12206
Experimental Subsystems	-	Na_dependent_energetics	Malonate decarboxylase gamma subunit	rxn12206
Experimental Subsystems	-	NhaA	Na+/H+ antiporter NhaA type	rxn05209
Experimental Subsystems	-	NhaA	Sodium-dependent phosphate transporter	rxn05313
Experimental Subsystems	-	PQQ-dependent_quinoprotein_dehydrogenases	Glucose dehydrogenase, PQQ-dependent (EC 1.1.5.2)	rxn10116
Experimental Subsystems	-	PQQ-dependent_quinoprotein_dehydrogenases	Methanol dehydrogenase large subunit protein (EC 1.1.99.8)	rxn00847
Experimental Subsystems	-	PQQ-dependent_quinoprotein_dehydrogenases	Quinate/shikimate dehydrogenase [Pyrroloquinoline-quinone] (EC 1.1.99.25)	rxn01364
Experimental Subsystems	-	PQQ-dependent_quinoprotein_dehydrogenases	Soluble aldose sugar dehydrogenase, PQQ-dependent (EC 1.1.5.-)	rxn10116
Experimental Subsystems	-	PTS_uptake_system_scrtach	PTS system, N-acetylglucosamine-specific IIB component (EC 2.7.1.69)	rxn05485
Experimental Subsystems	-	PTS_uptake_system_scrtach	PTS system, N-acetylglucosamine-specific IIC component (EC 2.7.1.69)	rxn05485
Experimental Subsystems	-	PTS_uptake_system_scrtach	PTS system, beta-glucoside-specific IIA component (EC 2.7.1.69)	rxn05501
Experimental Subsystems	-	PTS_uptake_system_scrtach	PTS system, beta-glucoside-specific IIA component (EC 2.7.1.69)	rxn05647
Experimental Subsystems	-	PTS_uptake_system_scrtach	PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69)	rxn05501
Experimental Subsystems	-	PTS_uptake_system_scrtach	PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69)	rxn05647
Experimental Subsystems	-	PTS_uptake_system_scrtach	PTS system, beta-glucoside-specific IIC component (EC 2.7.1.69)	rxn05501
Experimental Subsystems	-	PTS_uptake_system_scrtach	PTS system, beta-glucoside-specific IIC component (EC 2.7.1.69)	rxn05647
Experimental Subsystems	-	PTS_uptake_system_scrtach	PTS system, fructose-specific IIA component (EC 2.7.1.69)	rxn05560
Experimental Subsystems	-	PTS_uptake_system_scrtach	PTS system, fructose-specific IIB component (EC 2.7.1.69)	rxn05560
Experimental Subsystems	-	PTS_uptake_system_scrtach	PTS system, fructose-specific IIC component (EC 2.7.1.69)	rxn05560
Experimental Subsystems	-	PTS_uptake_system_scrtach	PTS system, glucose-specific IIA component (EC 2.7.1.69)	rxn05226
Experimental Subsystems	-	PTS_uptake_system_scrtach	PTS system, glucose-specific IIB component (EC 2.7.1.69)	rxn05226
Experimental Subsystems	-	PTS_uptake_system_scrtach	PTS system, glucose-specific IIC component (EC 2.7.1.69)	rxn05226
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphocarrier protein of PTS system	rxn02005
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphocarrier protein of PTS system	rxn05226
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphocarrier protein of PTS system	rxn05485
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphocarrier protein of PTS system	rxn05501
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphocarrier protein of PTS system	rxn05560
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphocarrier protein of PTS system	rxn05567
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphocarrier protein of PTS system	rxn05569
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphocarrier protein of PTS system	rxn05607
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphocarrier protein of PTS system	rxn05610
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphocarrier protein of PTS system	rxn05617
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphocarrier protein of PTS system	rxn05647
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphocarrier protein of PTS system	rxn05655
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphocarrier protein of PTS system	rxn10184
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	rxn02005
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	rxn05226
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	rxn05485
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	rxn05501
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	rxn05560
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	rxn05567
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	rxn05569
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	rxn05607
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	rxn05610
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	rxn05617
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	rxn05647
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	rxn05655
Experimental Subsystems	-	PTS_uptake_system_scrtach	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	rxn10184
Experimental Subsystems	-	Pectin_degradation	2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)	rxn01123
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	Glutamate racemase (EC 5.1.1.3)	rxn00193
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	Glutamine synthetase type I (EC 6.3.1.2)	rxn00187
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	Glutamine synthetase type I (EC 6.3.1.2)	rxn03406
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	Glutamine synthetase type I (EC 6.3.1.2)	rxn03407
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	Glutamine synthetase type I (EC 6.3.1.2)	rxn03409
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	Glutamine synthetase type II, eukaryotic (EC 6.3.1.2)	rxn00187
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	Glutamine synthetase type III, GlnN (EC 6.3.1.2)	rxn00187
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	Glutamine synthetase, clostridia type (EC 6.3.1.2)	rxn00187
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	rxn10199
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	rxn00293
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	rxn03638
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	N-acetylglucosamine-1-phosphate uridyltransferase eukaryotic (EC 2.7.7.23)	rxn00293
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)	rxn03903
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)	rxn03904
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	Putative glutamine synthetase, Rickettsiales type (EC 6.3.1.2)	rxn00187
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.1.1.158)	rxn02285
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)	rxn00461
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)	rxn03408
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)	rxn03933
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)	rxn02286
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)	rxn02008
Experimental Subsystems	-	Peptidoglycan_Biosynthesis_experimental	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)	rxn02011
Experimental Subsystems	-	PfkB_kinase	Ribokinase (EC 2.7.1.15)	rxn00772
Experimental Subsystems	-	PfkB_kinase	Ribokinase (EC 2.7.1.15)	rxn01987
Experimental Subsystems	-	Phenylalanine_and_Tyrosine_Branches_from_Chorismate_(Phoenix_copy)	Arogenate dehydratase (EC 4.2.1.91)	rxn00490
Experimental Subsystems	-	Phenylalanine_and_Tyrosine_Branches_from_Chorismate_(Phoenix_copy)	Arogenate dehydrogenase (EC 1.3.1.43)	rxn00525
